Utterance,Original_Labels,DeepSeek
"Ohhh, oh my God! Oh my God! She knows about us! (surprise)",Answer,Statement Opinion
Are you serious? (surprise),Question,Question
Phoebe knows and she's just trying to freak us out! That's the only explanation for it! (anger),Statement Non Opinion,Statement Opinion
Okay but what about y'know my pinchable butt and my bulging biceps--She knows! (anger),Statement Non Opinion,Statement Opinion
"Ross, umm, you've been in there for a long time. I'm starting to get kinda freaked out. (fear)",Statement Non Opinion,Statement Non Opinion
"All right, I'm coming out. Hey, can you turn the lights off. (neutral)",Command,Command
"No, let's just leave the lights on. (neutral)",Disagreement,Statement Non Opinion
Oh my God! (surprise),Others,Acknowledge
"You wanna go right now? 'Cause I'll take you right now, buddy! You wanna go? (anger)",Question,Question
Oh fine. (neutral),Answer,Agreement
Ready? Wrestle! (joy),Statement Non Opinion,Command
"Okay, y'know what uh, actually, that's great. That helps a lot. Thanks. (neutral)",Statement Opinion,Acknowledge
"All right now remember, something this big and long is going to be difficult to manuver, fortunately I have a lot of experience in that area. (neutral)",Statement Non Opinion,Statement Non Opinion
"Can we please focus here, a naked man's life hangs in the balance! (fear)",Statement Non Opinion,Command
I'm telling you he's dead. What we are about to have here is a dead fat guy on a stick. (anger),Statement Non Opinion,Statement Opinion
"All right, ladies and gentlemen, let's poke. (neutral)",Command,Command
Steady. (neutral),Statement Non Opinion,Command
Steady. (neutral),Statement Non Opinion,Command
"Okay, a little higher. (neutral)",Statement Non Opinion,Command
Careful of the angle. (neutral),Statement Non Opinion,Command
"Okay, okay, we're approaching the window Thread the needle. (neutral)",Statement Non Opinion,Command
Thread the needle. (neutral),Command,Command
He's alive! He's a-live!!! (joy),Statement Non Opinion,Statement Opinion
"And yet, we're still poking him. (disgust)",Statement Non Opinion,Statement Opinion
"Okay, retract the device, retract the device. (neutral)",Statement Non Opinion,Command
He does not look happy. (anger),Statement Opinion,Statement Opinion
"Hey-hey, now he's showing us his poking device. (surprise)",Statement Non Opinion,Statement Opinion
"Hey, that's never gonna make it all the way over here, buddy! (anger)",Statement Opinion,Statement Opinion
"Well they have uh, some unusual pet names for each other. (sadness)",Statement Non Opinion,Statement Opinion
"Including umm, evil bitch and uh, sick bastard. (disgust)",Statement Non Opinion,Statement Opinion
Oh God oh! (surprise),Others,Backchannel
Contraction! (surprise),Statement Non Opinion,Backchannel
Are you looking at her?! (anger),Question,Question
No! (anger),Answer,Answer
Don't you look at her you sick bastard! (anger),Command,Command
Honey I swear! I wasn't looking at her! (fear),Disagreement,Statement Opinion
She's in labor! You like that you sick son of a bitch! (anger),Statement Non Opinion,Statement Opinion
"Umm. Umm, I'm-I'm just gonna-- (neutral)",Statement Non Opinion,Backchannel
See? See? It was because you were looking fat pervert! (anger),Statement Opinion,Statement Opinion
"No-no, I'm...I'm sure no one was looking. Just want some privacy. (neutral)",Disagreement,Statement Non Opinion
You miss your girlfriend? (neutral),Question,Question
Just ignore them. (neutral),Answer,Command
Ross. (neutral),Greeting,Greeting
What? What? (fear),Question,Question
He's looking at me. (neutral),Statement Non Opinion,Statement Non Opinion
Hey! You wanna live to see your baby?! (anger),Question,Command
Don't you talk to my husband like that you stupid bastard! (anger),Statement Non Opinion,Command
Pat Sajak? (neutral),Question,Question
Yep! (joy),Answer,Agreement
Alex Trebek? (neutral),Question,Question
"Oh, of course! (joy)",Agreement,Agreement
Chuck Woolery? (neutral),Question,Question
"Definitely! Phoebe, you will not find a single game show host, who's ass I cannot kick. (joy)",Agreement,Statement Opinion
Say it! (joy),Others,Command
Say we are unagi! (joy),Statement Non Opinion,Command
It's not something you are! It's something you have! (anger),Statement Non Opinion,Disagreement
Say it! (joy),Others,Command
"Y'know what? I can easily get out of this, but there is a chance you can get very, very hurt! (anger)",Statement Non Opinion,Statement Opinion
"Hey, Rach, can I borrow your eyelash curler, I think I lost mine. (neutral)",Question,Question
"Yeah, it's in there. (neutral)",Answer,Answer
Oh! Ohh! Oh!! (surprise),Backchannel,Backchannel
"Joey, can I talk to you for a second? (neutral)",Question,Question
Oohh!! Ohh! Oh-oh-oh! Oh-oh!! (surprise),Backchannel,Backchannel
oooooooooooooohhhhhhhhhhh (surprise),Backchannel,Backchannel
Yes. Yes. (neutral),Agreement,Acknowledge
You?! And-and you?! (surprise),Question,Backchannel
"Yes, but you cannot tell anyone! No one knows! (joy)",Answer,Statement Opinion
How?! When?! (surprise),Question,Question
It happened in London. (neutral),Answer,Statement Non Opinion
IN LONDON!!! (surprise),Question,Backchannel
The reason we didn't tell anyone was because we didn't want to make a big deal out of it. (neutral),Answer,Statement Non Opinion
But it is a big deal!! I have to tell someone! (surprise),Statement Non Opinion,Statement Opinion
No-no-no-no-no! You can't! (fear),Disagreement,Command
"Please? Please?! We just don't want to deal with telling everyone, okay? Just promise you won't tell. (fear)",Command,Command
"All right! Man, this is unbelievable! I mean, it's (surprise)",Others,Backchannel
"I know, it's great! (joy)",Agreement,Statement Opinion
"Aww, I don't want to see that! (disgust)",Statement Non Opinion,Statement Opinion
We're so stupid! Do you know what's going on in there? They're trying to take Joey! (sadness),Question,Statement Opinion
"And my second grade teacher was Ms. Thomas, and my first grade teacher was Mrs. Cobb. (neutral)",Statement Non Opinion,Statement Non Opinion
"Mrs., Mrs. Gobb? (neutral)",Question,Question
"No Cobb, as in cobb salad. (neutral)",Answer,Statement Non Opinion
"Now, what exactly is in a cobb salad? (neutral)",Question,Question
What're we gonna do? What're we gonna do? (fear),Question,Question
"Uh, uh, we'll flip for it. Ducks or clowns. (neutral)",Answer,Statement Non Opinion
"Oh, we're gonna flip for the baby? (surprise)",Question,Question
You got a better idea? (neutral),Question,Question
"All right, call it in the air. (neutral)",Answer,Command
Heads. (neutral),Others,Statement Non Opinion
Heads it is. (neutral),Others,Statement Non Opinion
Yes! Whew! (joy),Agreement,Acknowledge
We have to assign heads to something. (neutral),Statement Non Opinion,Statement Non Opinion
"Right. Ok, ok, uh, ducks is heads, because ducks have heads. (neutral)",Agreement,Statement Non Opinion
What kind of scary-ass clowns came to your birthday? (anger),Question,Question
"Okay, some tricks of the trade. (neutral)",Statement Non Opinion,Statement Non Opinion
"Now, I've never been able to cry as an actor, so if I'm in a scene where I have to cry, I cut a hole in my pocket, take a pair of tweezers, and just start pulling. (neutral)",Statement Non Opinion,Statement Non Opinion
"Or ah, or, let's say I wanna convey that I've just done something evil. (neutral)",Statement Non Opinion,Statement Non Opinion
"That would be the basic 'I have a fishhook in my eyebrow and I like it' Okay, let's say I've just gotten bad news, well all I do there is try and divide 232 by 13. (neutral)",Statement Non Opinion,Statement Non Opinion
And that's how it's done. (neutral),Statement Non Opinion,Statement Non Opinion
"Great soap opera acting tonight everybody, class dismissed. (joy)",Others,Statement Opinion
"Hey, Mr. Trib. (neutral)",Greeting,Greeting
Hey-hey. (joy),Greeting,Greeting
Then I'm gonna have to ask you to keep it down. (neutral),Statement Non Opinion,Command
Who are you? (surprise),Question,Question
"Hi, I'm Eric, I'm gonna be Chandler's new roommate. (neutral)",Answer,Greeting
I'm Chandler's new roommate. (surprise),Answer,Statement Non Opinion
I-I-I don't think so. (surprise),Disagreement,Disagreement
I could be Chandler's new roommate. (surprise),Statement Non Opinion,Statement Non Opinion
"But, he told me over the phone. (surprise)",Statement Non Opinion,Statement Non Opinion
He told me in person. (neutral),Statement Non Opinion,Statement Non Opinion
That's weird. (surprise),Statement Non Opinion,Statement Opinion
"Well, I'm going to go into my new apartment now. Ehh! (joy)",Statement Non Opinion,Statement Non Opinion
Hey! Look who I found! (surprise),Statement Non Opinion,Greeting
"Oh, hey guys! (joy)",Greeting,Greeting
"Y'know, birds have a very good sense of direction, and I thought maybe they could help us find where the presents are hidden. (neutral)",Statement Opinion,Statement Opinion
"Yes, if the presents are hidden south for the winter. (neutral)",Agreement,Statement Non Opinion
Or we could just follow your clever jokes – any ideas? (neutral),Question,Question
Didn't think so! (neutral),Answer,Statement Non Opinion
"Okay, c'mon guys, show us where the presents are! (neutral)",Others,Command
"Oh, the duck seems to think that Monica got me garbage! Hmm, I wonder what I could get Monica that's as good as garbage? (anger)",Acknowledge,Statement Opinion
"Hmm, how about my azzz? (neutral)",Question,Statement Non Opinion
"Hey, this is hollow. (neutral)",Answer,Statement Non Opinion
What? (surprise),Question,Question
"This bench, it's hollow! I can't believe I never knew that! Oh, the presents!!! (surprise)",Answer,Statement Non Opinion
"No, don't look directly at them! (fear)",Disagreement,Command
What? (surprise),Question,Question
"Alright, no, we could look at them! (neutral)",Answer,Statement Non Opinion
I (neutral),Others,Others
"Hi! I'm so glad you're here, but it's gonna be a while. I-I wished you'd called first. (joy)",Statement Non Opinion,Greeting
"Oh that's all right, I'm coming back later with your father. (neutral)",Agreement,Statement Non Opinion
Oh good. (joy),Others,Acknowledge
I actually needed to talk to you before the birth. (neutral),Statement Non Opinion,Statement Non Opinion
"Okay, what's up? (neutral)",Question,Question
"I brought something that I want to give you, assuming of course that you want it. (neutral)",Acknowledge,Statement Non Opinion
"Ma, you're asking me to marry you? (surprise)",Question,Question
"This is your grandmother's engagement ring, I want you to give it to Rachel. (joy)",Answer,Statement Non Opinion
"Mom no, come on! Thank you. (surprise)",Command,Acknowledge
Just hear me out! (fear),Statement Non Opinion,Command
"Maybe this would've happened if I'd been more nurturing, or I'd paid more attention, or I... had a uterus. (sadness)",Statement Non Opinion,Statement Opinion
I can't believe this! (sadness),Statement Non Opinion,Statement Non Opinion
"I know no, no, y'know you don't deserve this, you don't Ross. (sadness)",Agreement,Acknowledge
"You're, you're really, you're so good. (sadness)",Statement Non Opinion,Statement Opinion
Thanks. (sadness),Acknowledge,Acknowledge
And you're so sweet. And you're kind (neutral),Acknowledge,Statement Opinion
Thanks. (sadness),Acknowledge,Acknowledge
"Wait, wait, wait, wait, wait. (surprise)",Command,Command
"Okay, it's okay. (neutral)",Agreement,Acknowledge
"Wait, wait, wait. (joy)",Command,Command
My foot is stuck in the pocket. (sadness),Statement Non Opinion,Statement Non Opinion
What? (surprise),Question,Question
"No, I can't get it out. (sadness)",Answer,Statement Non Opinion
Rachel? (neutral),Question,Greeting
Yeah. Hi Mark! (surprise),Answer,Greeting
"Hi. I just talked to Joanna, and she loves you. You got it, you got the job. (joy)",Statement Non Opinion,Statement Non Opinion
"Oh, I did! (surprise)",Statement Non Opinion,Acknowledge
Yes. (joy),Agreement,Answer
Oh my God!! (surprise),Others,Acknowledge
Congratulations...oh..wow (joy),Acknowledge,Acknowledge
I can't believe I did this! What an idiot! (anger),Statement Non Opinion,Statement Opinion
"Oh, stop beating yourself up! (sadness)",Command,Command
People make mistakes! (neutral),Others,Statement Non Opinion
These things happen! (neutral),Statement Non Opinion,Statement Non Opinion
There aren't any message you've forgotten to give me are there? (neutral),Question,Question
Apparently you're not very good at it! (anger),Answer,Statement Opinion
I (neutral),Others,Others
Philadelphia. (neutral),Others,Statement Non Opinion
"Oh my God! So was she! Oh, I've got-I've got goose bumps. (surprise)",Others,Statement Opinion
Really? (surprise),Question,Question
"Well, y'know I'm wearing layers and it's warm. (neutral)",Answer,Statement Non Opinion
Yeah. (joy),Statement Non Opinion,Agreement
"But if--no look, okay. These jerks might not care about you, but the universe does! And that says a lot! (sadness)",Statement Non Opinion,Statement Opinion
Did you hear that?! (neutral),Question,Question
I don't need you guys to care about me! (anger),Answer,Statement Opinion
Because the universe cares! (joy),Statement Opinion,Statement Opinion
The whole universe! (joy),Statement Opinion,Statement Opinion
I really wished they'd care just a little bit though. (sadness),Statement Non Opinion,Statement Opinion
"I like this one. It seems to say, ""I love you and that's why I have to kill you."" (joy)",Statement Non Opinion,Statement Opinion
"They can't all be bad. Find the one where you make your bedroom eyes. Ohh, there it is. (joy)",Statement Opinion,Statement Opinion
Oh my God! Those are my bedroom eyes?! Why did you ever sleep with me? (surprise),Question,Question
Do you really want to pull at that thread? (surprise),Question,Question
I'm having a really good time! (joy),Statement Non Opinion,Statement Opinion
Me too! I'm sorry that guy in the subway licked your neck. (sadness),Apology,Apology
"Ohh. No that's okay, he's a friend. (neutral)",Acknowledge,Acknowledge
"Hey uh, I don't mean to be presumptuous but I have these two tickets to the ballroom dancing finals tomorrow night if you want to go? (fear)",Statement Non Opinion,Question
"Yeah, I... Well y'know I-I mean I missed the-the semi-finals, so I'd just be lost. (sadness)",Agreement,Statement Non Opinion
"I know it's really lame, but I got these tickets from my boss and--Oh no! No! No! My God! (surprise)",Acknowledge,Statement Non Opinion
"Okay, don't freak out. I'll go. (neutral)",Command,Command
"No it's... Uh, my ex-wife Whitney is out there. I cannot deal with her right now. That woman is crazy! (anger)",Statement Non Opinion,Statement Opinion
"Okay, I know. Hold on. Hey Ross? (neutral)",Agreement,Acknowledge
Yeah? (neutral),Agreement,Backchannel
"Yeah, umm that's Whitney , Kyle's ex-wife out there, now do you think that you can y'know divert her so that we can slip out? (neutral)",Agreement,Question
What?! No! (surprise),Question,Disagreement
Well okay but I have two tickets to the ballroom dance finals. (neutral),Answer,Statement Non Opinion
"Look, I don't think so Pheebs. All right, I'll do it. But just because you're a friend. (neutral)",Statement Opinion,Agreement
"Well, I-I-I'm done with this. You want anything Ross? Sports? International? Apartment listings? (neutral)",Question,Statement Non Opinion
I'll take sports. (neutral),Answer,Answer
Mine! (neutral),Others,Statement Non Opinion
"All right. Uhh, international. (neutral)",Agreement,Answer
"Okay, look, I-I know what you guys are going to say (neutral)",Statement Non Opinion,Statement Non Opinion
You two will have very hairy children. (disgust),Statement Non Opinion,Statement Opinion
"Okay, I didn't know you would say that. (surprise)",Disagreement,Acknowledge
Ross! Janice?! (anger),Greeting,Question
"All right, hold on! (neutral)",Agreement,Command
Hold on. (neutral),Command,Command
Hold on. (neutral),Command,Command
"This is Ross, okay? (neutral)",Greeting,Statement Non Opinion
He's our friend. (neutral),Statement Non Opinion,Statement Non Opinion
He obviously went crazy. (anger),Statement Non Opinion,Statement Opinion
He obviously lost his mind. (anger),Statement Non Opinion,Statement Opinion
So are you actually gonna see her again? (neutral),Question,Question
Phoebe! Don't put ideas in his head! (anger),Command,Command
Damnit Phoebe!! (anger),Others,Acknowledge
"Hey, don't we have to... (neutral)",Statement Non Opinion,Question
"Yeah, we got, um-hmm. (neutral)",Statement Non Opinion,Agreement
"Umm, I think you're really, really great... (joy)",Statement Opinion,Statement Opinion
Oh God! (sadness),Others,Acknowledge
Here we go again. (sadness),Statement Non Opinion,Statement Non Opinion
Why does this keep happening to me? (anger),Question,Question
Is it something I'm putting out there? (sadness),Question,Question
Is this my fault? (sadness),Question,Question
Or am I just nuts? (sadness),Question,Question
"I-I-I-I-I don't know, I don't know what to say. (surprise)",Answer,Acknowledge
"Hey buddy, this is a family place, put the mouse back in the house. (disgust)",Statement Non Opinion,Command
Wait! (sadness),Command,Command
Terry! (sadness),Greeting,Greeting
Please! (sadness),Command,Command
"Look, I just lost my other job. (sadness)",Statement Non Opinion,Statement Non Opinion
Okay? (neutral),Agreement,Question
You have no idea how much I need this. (sadness),Statement Non Opinion,Statement Opinion
"Please, help me out, for old times sake. (sadness)",Others,Command
This poor guy's been in a coma for five years. It's hopeless. (sadness),Statement Non Opinion,Statement Opinion
"It's not hopeless! Dr. Stryker Ramoray's a miracle worker. Look, here he comes. (joy)",Disagreement,Statement Opinion
"Good morning. Drake, it's your brother Stryker. Can you hear me? (neutral)",Greeting,Greeting
I'm back baby! Ha-ha-ha! (joy),Statement Non Opinion,Statement Opinion
That kid really kicked me hard on the plane. (anger),Statement Non Opinion,Statement Opinion
Well you did pull his hair. (neutral),Statement Non Opinion,Statement Non Opinion
He took my snack! (anger),Statement Non Opinion,Statement Opinion
I'm not getting into this again! (anger),Statement Non Opinion,Disagreement
"Okay! Oh God, y'know what? It's really bad. (sadness)",Statement Opinion,Statement Opinion
"Well, I told you not to walk. Here. There. Okay. (anger)",Statement Non Opinion,Command
"This doesn't mean anything, does it? (fear)",Question,Question
Of course! Only an idiot would wear this stuff if you didn't have the car! Right? (anger),Answer,Disagreement
That is true. (neutral),Agreement,Agreement
"Yeah, but only a genius would swallow a sonic blaster gun. (neutral)",Agreement,Disagreement
"Oh, I've been there. Yeah, I am gonna go drive my Porsche. (neutral)",Statement Non Opinion,Statement Non Opinion
"Joey, you know you don't actually have one. (neutral)",Statement Non Opinion,Statement Non Opinion
Come on! What are you doing?! I'm in character! Would you talk to her! (sadness),Question,Command
"Ahh, I think it just moved. It's really poking me. (anger)",Statement Opinion,Statement Non Opinion
"All right, that's it, we're going to the emergency room. (neutral)",Statement Non Opinion,Command
"What?! No, you can't, you can't leave me here with them! We're baby-sitting! (anger)",Disagreement,Disagreement
"The babies are asleep, I'm sure you'll be okay on your own for a while! (neutral)",Statement Non Opinion,Statement Non Opinion
But you-you can't leave me with them! We-we're a team! We're playing a zone! They're gonna triple team me! (anger),Disagreement,Disagreement
"He's got something plastic lodged in his throat, we've got to go to the hospital. (fear)",Statement Non Opinion,Statement Non Opinion
"But no, because a doctor won't be able to help him, it's just gonna y'know naturally pass through his system in like seven years. (neutral)",Statement Non Opinion,Statement Opinion
I think that's gum. (neutral),Statement Opinion,Statement Non Opinion
I'm pretty sure it's gun. (neutral),Statement Opinion,Statement Opinion
"Okay, listen this really hurts. Let's go. (anger)",Statement Opinion,Command
"A real man wouldn't just run to the hospital! No! What would, what would Krog do? (anger)",Question,Disagreement
That was the only way I could get him to (neutral),Answer,Statement Non Opinion
Hi! How are the Gellers? (neutral),Question,Greeting
Don't call us that! (anger),Statement Non Opinion,Disagreement
The judge wouldn't let us get an annulment! Now we gotta get a divorce!! Did a Porsch throw up on you? (anger),Question,Statement Opinion
Hey! It's Porsche!! (anger),Greeting,Disagreement
Hey sweetie! (joy),Greeting,Greeting
Hey! (joy),Greeting,Greeting
There's no back to this couch! (surprise),Statement Non Opinion,Statement Non Opinion
Why are you reading this? You hate this kind of stuff. (surprise),Question,Question
"Yeah I know, but I figured a shot y'know? (neutral)",Answer,Answer
"Maybe one of those stories would make me cry and then you wouldn't think I was y'know, all dead inside. (neutral)",Statement Non Opinion,Statement Opinion
"Oh that's so sweet! Look Chandler I don't care if you can't cry, I love you. (joy)",Statement Non Opinion,Statement Opinion
Oh that makes me feel so warm in my hollow tin chest. (neutral),Statement Non Opinion,Statement Non Opinion
Stop it! (joy),Command,Command
"No, I mean, come on, seriously think about it, we get married, we're up at the altar and I'm like this. (neutral)",Statement Opinion,Statement Opinion
"I won't care, because I know you will be feeling it all in here. (neutral)",Statement Non Opinion,Statement Opinion
Yeah? (neutral),Question,Backchannel
Of course he is! (joy),Answer,Agreement
"What, do you think I'd just use my son as-as an excuse? (joy)",Question,Question
What kind of father do you think I am? (anger),Question,Question
"All right, sorry. (neutral)",Apology,Apology
I gotta go make a fake Ben. (neutral),Statement Non Opinion,Statement Non Opinion
"The basket is totally empty! My God, the neighbors ate all the candy! (surprise)",Statement Non Opinion,Statement Opinion
"Well, either that or uh (neutral)",Others,Backchannel
Joey!! (anger),Greeting,Command
Yeah? (neutral),Agreement,Backchannel
Did you eat all the neighbor candy?! (anger),Question,Question
"Uh well yeah, that was the plan, but by the time I got to it there was only a couple of pieces left! (anger)",Answer,Statement Opinion
"Yeah, and they've been coming by all day. They love it! (joy)",Statement Non Opinion,Statement Opinion
They love my candy? Oh man!!! I've gotta go make more!! (joy),Statement Non Opinion,Statement Opinion
"Hey Mon, you might wanna make some more lasagna too, because something might've happened to a huge chunk of it. (neutral)",Statement Opinion,Statement Non Opinion
Ross! The neighbors ate all my candy!! (joy),Statement Non Opinion,Statement Opinion
Mine stole my newspaper! It's like a (anger),Statement Non Opinion,Statement Opinion
Sure! (neutral),Agreement,Agreement
"Yeah, ever since you uh, told me that story about that bike I-I couldn't stop thinking about it. (neutral)",Agreement,Statement Non Opinion
"I mean, everyone should have a-a (neutral)",Statement Non Opinion,Statement Non Opinion
Oh my God Ross!! (surprise),Others,Statement Opinion
You like it? (joy),Question,Question
I (neutral),Question,Backchannel
Yeah? (neutral),Answer,Backchannel
Hello darlings. (neutral),Greeting,Greeting
And there's daddy! (joy),Statement Non Opinion,Statement Non Opinion
There he is! There he is! (surprise),Statement Non Opinion,Statement Non Opinion
Where? (neutral),Question,Question
Right- where we've been looking all night! (joy),Answer,Statement Non Opinion
He is so cute! (joy),Statement Opinion,Statement Opinion
"Oh, George, baby, drop the towel! (joy)",Others,Command
"Yeah, drop it! Drop the towel! Please drop the----wowww. (joy)",Command,Command
"I've gotta tell you, Bob is terrific. (joy)",Statement Non Opinion,Statement Opinion
"Yeah, isn't he? (joy)",Question,Agreement
"It is so great to meet a guy who is smart and funny, and has an emotional age beyond, like eight. (joy)",Statement Non Opinion,Statement Opinion
You know what else? He's unbelievable in bed. (joy),Statement Non Opinion,Statement Opinion
Wow. My brother never even told me when he lost his virginity. (surprise),Statement Non Opinion,Statement Non Opinion
Huh. That's nice. (neutral),Others,Acknowledge
"and the miracle was that that little bit of oil that should've just lasted just one day, burned for (neutral)",Statement Non Opinion,Statement Non Opinion
Eight whole days. (neutral),Statement Non Opinion,Statement Non Opinion
"That's right, and that's why we celebrate Hanukkah today. The end. (joy)",Agreement,Statement Opinion
Awesome! (joy),Acknowledge,Agreement
Yeah? (surprise),Question,Question
My favorite part was when (neutral),Statement Non Opinion,Statement Non Opinion
The Armadillo was actually not so (neutral),Statement Non Opinion,Statement Non Opinion
Hey! (joy),Greeting,Greeting
Oh. (neutral),Backchannel,Backchannel
Wow! It looks like the Easter Bunny's funeral in here. (surprise),Others,Statement Opinion
"Come on, come on, we're-we're-we're lighting the candles! (joy)",Command,Command
Oh. (neutral),Backchannel,Backchannel
Oh. (neutral),Backchannel,Backchannel
"Okay, I understand why (neutral)",Acknowledge,Acknowledge
"Yeah, sure. Good luck! (joy)",Greeting,Agreement
I'm quitting!! Woo-hoo! I'm okay!! I'm all right!! (joy),Statement Non Opinion,Statement Opinion
"Wow! That's exciting, you went to Japan, made up a woman. (surprise)",Statement Non Opinion,Statement Opinion
What? (neutral),Question,Question
"I'm just saying, this woman, I mean she's fictitious. No? (surprise)",Answer,Question
Why would you say that? (neutral),Question,Question
Cause you're still into Monica. (neutral),Answer,Statement Non Opinion
"So you told her there was somebody else so she would agree to work with you, so 'cause you figure oh if you spent a lot of time together, maybe something might happen, and... (neutral)",Statement Non Opinion,Statement Non Opinion
You're good. You're good! (joy),Acknowledge,Agreement
"Yeah, no, I'm fairly intuitive and psychic. It's a substantial gift. (neutral)",Agreement,Statement Opinion
"Listen, can you promise me that you won't tell her though? (fear)",Question,Command
"Absolutely, oh I promise. Tell her what? (neutral)",Answer,Acknowledge
Thanks a lot. (neutral),Acknowledge,Acknowledge
"No I'm serious. I mean I'm intuitive, but my memory sucks. (neutral)",Statement Non Opinion,Statement Opinion
"Excuse me, pardon me, excuse me, excuse me, sorry. Hi. (neutral)",Apology,Apology
"For God's sake, will you let it go? There's no Rachel! (anger)",Others,Disagreement
"Oh, hey, hey, I got that. (neutral)",Statement Non Opinion,Acknowledge
"Oh, thanks, sweetie. (joy)",Acknowledge,Answer
No problem. I cannot wait for you to meet my friends. (joy),Statement Non Opinion,Statement Opinion
Really? (surprise),Question,Question
You don't think they'll judge and ridicule me? (fear),Question,Question
"No, no, they will. I just... uh... (neutral)",Answer,Statement Non Opinion
Can't wait. (neutral),Statement Non Opinion,Statement Non Opinion
Do I know you? (surprise),Question,Question
"Oh my god, little Stevie Fisher? How've you been? (surprise)",Question,Greeting
"Good, good, I'm a lawyer now. (neutral)",Answer,Statement Non Opinion
You can't be a lawyer. You're eight. (surprise),Disagreement,Disagreement
"Listen, it was nice to see you. I gotta run backstage. (joy)",Statement Non Opinion,Statement Non Opinion
"Uh, wait, backstage? (surprise)",Question,Question
"Oh, yeah, my firm represents the band. (neutral)",Answer,Statement Non Opinion
Ross. (neutral),Greeting,Statement Non Opinion
Chandler. (neutral),Greeting,Statement Non Opinion
"Look, you guys wanna meet the group? (neutral)",Question,Question
Come on. (neutral),Command,Command
"So, are you one of the ones who fooled around with my dad? (surprise)",Question,Question
Do you have any respect for your body? (disgust),Question,Question
Don't you realise what you're-you're doing to yourself? (disgust),Question,Question
"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. (anger)",Statement Non Opinion,Statement Opinion
"The bottom line is, smoking is cool, and you know it. (neutral)",Statement Non Opinion,Statement Opinion
"Chandler? It's Alan, he wants to speak to you. (neutral)",Statement Non Opinion,Statement Non Opinion
Really? (surprise),Question,Backchannel
He does? (surprise),Question,Backchannel
"Hey, buddy, what's up! (joy)",Greeting,Greeting
"Oh, she told you about that, huh. (surprise)",Statement Non Opinion,Acknowledge
"Well, yeah, I have one now and then. (neutral)",Agreement,Statement Non Opinion
"Well, yeah, now. (neutral)",Agreement,Statement Non Opinion
"Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. (neutral)",Statement Non Opinion,Acknowledge
"Well, okay, thanks! (joy)",Acknowledge,Acknowledge
"God, he's good. (joy)",Statement Opinion,Statement Opinion
If only he were a woman. (neutral),Statement Opinion,Statement Opinion
Yeah. (neutral),Agreement,Backchannel
"Oh, look look look. (surprise)",Command,Statement Non Opinion
The last candle's about to burn out. (neutral),Statement Non Opinion,Statement Non Opinion
"10, 9, 8, 7... ... negative 46, negative 47, negative 48.... (neutral)",Statement Non Opinion,Statement Non Opinion
Thank you. (neutral),Greeting,Acknowledge
Thanks. (neutral),Greeting,Acknowledge
Kinda... spooky without any lights. (fear),Others,Statement Opinion
Bwah-hah-hah! (joy),Others,Backchannel
"OK, guys, guys? I have the definitive one. Mwwwooooo-hah-hah... (joy)",Statement Non Opinion,Statement Opinion
Oh.. oh... oh. (neutral),Others,Backchannel
"Hey Ross. This probably isn't the best time to bring it up, but you have to throw a party for Monica. (neutral)",Statement Non Opinion,Statement Opinion
You blew them away! (joy),Statement Non Opinion,Statement Opinion
"Oh, I can't tell you how great it was to look at the crowd and see your face! (joy)",Statement Non Opinion,Statement Opinion
"I mean... uh, did you know you were mouthing the words along with me? (neutral)",Question,Question
I was (surprise),Answer,Acknowledge
"No, it's ok! Made me feel like a rock star! (joy)",Agreement,Agreement
Oh my God! I'm your (surprise),Others,Statement Non Opinion
I'd better not found you naked in my hotel room! (joy),Statement Non Opinion,Statement Opinion
"Look, I took it too far! (joy)",Statement Non Opinion,Acknowledge
"Okay, Monica: Right foot red. (neutral)",Others,Command
Could've played (neutral),Statement Non Opinion,Statement Non Opinion
Thanks. (neutral),Acknowledge,Acknowledge
"Okay, Pheebs: Right hand blue. Good. (neutral)",Others,Command
"Hello? Oh, uh, Rachel, it's the (neutral)",Greeting,Greeting
"Oh, okay. Will you take my place? (neutral)",Question,Question
"Alright. Yes, this is Rachel. (neutral)",Answer,Acknowledge
Nooo! (surprise),Disagreement,Statement Non Opinion
Hello? (neutral),Question,Greeting
"Oh, yeah, no, I know, I-I haven't been using it much. (neutral)",Statement Non Opinion,Statement Non Opinion
"Oh, well, thanks, but, I'm okay, really. (joy)",Statement Non Opinion,Statement Opinion
Green. To the green. (neutral),Others,Command
I've got magic beans. Never-never mind. (neutral),Statement Non Opinion,Statement Non Opinion
"To the left, to the left- aww! (neutral)",Statement Non Opinion,Statement Non Opinion
Ohhh... I'm fine. (neutral),Statement Non Opinion,Statement Opinion
Hey! (joy),Greeting,Greeting
Please tell me you got the message! (fear),Greeting,Command
What message? (neutral),Command,Question
"The actor playing Mac couldn't do it, they needed to see you at 2 o'clock. (neutral)",Question,Statement Non Opinion
What?! It's 6 o'clock! (surprise),Statement Non Opinion,Statement Opinion
"Du-du-I wrote it, I wrote it on the board! (fear)",Question,Statement Non Opinion
"I wrote it on the board, then I went all over New York City looking for ya! (anger)",Answer,Statement Non Opinion
I went to Ross's! (neutral),Statement Non Opinion,Statement Non Opinion
