Utterance,Emotion,"No,DS_r1_emotion"
The Mr. Bowmont's here!!! (joy),joy,joy
"Oh that's great, my friend Joey's in the movie business. (joy)",joy,joy
Y'know who I ran into from school? Howie. (neutral),neutral,neutral
My friend's name is Joey. (neutral),neutral,neutral
Apparently Howie's editing now. (neutral),neutral,neutral
"Yeah, he-he-he calls me up and asks me if he can edit my new movie. (anger)",anger,disgust
Can you believe that?! (surprise),surprise,disgust
Y'know I-I-I haven't spoken to him in like ten years and he asks me for a favor! (surprise),surprise,anger
"Yeah, I've always hated that Howie. (disgust)",disgust,anger
"No, no ""How you doing?"" Man, I mean not even a cup of coffee first! (disgust)",disgust,disgust
The nerve huh? (disgust),disgust,disgust
Yeah! (disgust),disgust,disgust
Refill? (neutral),neutral,neutral
Hey! How you doing? (joy),joy,joy
"Good! Good, long time no see. (joy)",joy,joy
Like your sweater. (neutral),neutral,neutral
"Oh hey, right back at ya. (neutral)",neutral,neutral
"Oh, it's crazy about Rachel huh? (surprise)",surprise,joy
"Yeah. She--Well, she's one crazy lady? (surprise)",surprise,fear
So whose is it? (neutral),neutral,neutral
"Umm, I don't some Italian guy. Come on, read your own label. See you later. (neutral)",neutral,disgust
Okay. (neutral),neutral,neutral
He is so weird. (anger),anger,disgust
You wanna fool around with Joey? (surprise),surprise,surprised
Yeah! (joy),joy,joy
"You know, ever since I had that dream about him, and can't get it out of my head! (joy)",joy,joy
"And what's the big deal, people do it all the time! (surprise)",surprise,neutral
Who? Who do you know that are friends that just fool around? (surprise),surprise,surprised
"Ok, off the top of my head... Don and Janet. (neutral)",neutral,neutral
"Who, who are they? (neutral)",neutral,surprised
I know them from work. (neutral),neutral,neutral
Both of them? (surprise),surprise,surprised
"No, one of them... (neutral)",neutral,neutral
Which one? (neutral),neutral,neutral
"I don't know, what were the names I just said? (neutral)",neutral,neutral
"Rachel, things can get incredibly complicated. (anger)",anger,fear
"All right, all right, you're right (sadness)",sadness,neutral
What the hell are you cooking! (surprise),surprise,disgust
Oh my God! How did you get back here?! (surprise),surprise,surprised
"Fire alarm? Oh! Hi, officer--fireman, can-can I help you? (surprise)",surprise,fear
We found your fire alarm in the trash chute. (anger),anger,neutral
That's not mine. (neutral),neutral,neutral
Yes it is. (neutral),neutral,neutral
How do you know? (fear),fear,neutral
"The next time you want to dump a fire alarm in a trash chute, don't wrap it in a blanket that says, ""Property of Phoebe Buffay not Monica."" (disgust)",disgust,neutral
"Okay do you--Okay, do you have a search warrant? Because the last time I checked this was still America! (anger)",anger,anger
"Please reattach this, it's against the law to disconnect them. (neutral)",neutral,neutral
Fine! But please God.. tell me how to stop them from going off! (anger),anger,fear
There's a reset button under the plastic cover. (neutral),neutral,neutral
There's a reset button?! (surprise),surprise,surprised
My God! (surprise),surprise,surprised
Why didn't I see that! (surprise),surprise,surprised
"Reset button, reset button, where is there a reset button? (neutral)",neutral,fear
Oh here it is! (joy),joy,joy
Oh! (surprise),surprise,joy
"Ohh, God! (joy)",joy,joy
"Four letters: ""Circle or hoop"". (neutral)",neutral,neutral
"Ring dammit, ring! (anger)",anger,anger
Thanks. (neutral),neutral,neutral
"Hey, you know our phone's not working? (surprise)",surprise,neutral
What?! (surprise),surprise,surprised
"I tried to call you from the coffee shop, and there was no answer. (neutral)",neutral,neutral
"I turned it off. Mother of God, I turned it off! (anger)",anger,fear
Just like you told her you did! ... Just pointing out the irony. (neutral),neutral,joy
"Hey, so listen, I went across the street and talked to the doorman- I got the peeper's name! Can I use the phone? (anger)",anger,joy
Nngghhh!!!!!!! (anger),anger,anger
"Can I use your phone? Yeah, the number for a Sidney Marks, please. (neutral)",neutral,neutral
"""Heating device."" (neutral)",neutral,neutral
Radiator. (neutral),neutral,neutral
Five letters. (neutral),neutral,neutral
Rdtor. (neutral),neutral,neutral
"Yeah, is Sidney there? Oh, this is? Sidney's a woman. (surprise)",surprise,surprised
"Well, you'll have to wait your turn. (neutral)",neutral,neutral
"Well, how long do you think it'll be? (neutral)",neutral,neutral
Any minute now. (neutral),neutral,neutral
Hey. (neutral),neutral,neutral
Hey! Any good mail? (neutral),neutral,neutral
"Yes, you got something from the Screen Actor's Guild. (neutral)",neutral,neutral
"Ooh, it's probably a residual check, hey can you open it for me, I'm kinda.... (neutral)",neutral,joy
"""Benefits lapsed."" (neutral)",neutral,neutral
Hmm that's weird. I don't remember being in a move called benefits lapsed. (neutral),neutral,surprised
"Okay, it's not a check. They're saying your health insurance expired because, you didn't work enough last year. (neutral)",neutral,neutral
Let me see that! (surprise),surprise,surprised
All right. (neutral),neutral,neutral
"Oh, I can't believe this! (surprise)",surprise,anger
This sucks! (anger),anger,anger
"When I had insurance I could get hit by a bus or catch on fire, y'know? (fear)",fear,anger
And it wouldn't matter. (anger),anger,anger
Now I gotta be careful? (anger),anger,anger
"I'm sorry man, there's never a good time to stop catching on fire. (sadness)",sadness,joy
"All right well, I guess I gotta go get a job. I'm gonna go see my agent. (sadness)",sadness,neutral
"Okay, make sure you look both ways before you cross the street. (neutral)",neutral,joy
look both ways before you cross the street. (joy),joy,neutral
I can't believe Phoebe's gonna have her babies! (surprise),surprise,joy
"I know, it's beautiful. Amazing. (joy)",joy,joy
"I had to kiss Phoebe and Rachel every time I left a room, I mean it's too bad they didn't see us having sex. (neutral)",neutral,neutral
Do you know anything about women? (neutral),neutral,anger
No. (neutral),neutral,neutral
That's all right. (neutral),neutral,neutral
Okay. (neutral),neutral,neutral
"Hey, this- Heyy... (joy)",joy,neutral
Remember when we went to Central Park and rented boats?.. That was fun. (joy),joy,joy
Yeah. He could row like a viking. (joy),joy,joy
Hi. (neutral),neutral,neutral
Mmm. (neutral),neutral,neutral
So how'd it go? (neutral),neutral,neutral
"Oh, y'know.. (neutral)",neutral,neutral
Did he mention us? (neutral),neutral,neutral
He said he's really gonna miss you guys. (sadness),sadness,neutral
"You had a rough day, huh.. c'mere. (sadness)",sadness,sadness
...love you. (joy),joy,joy
Are you're hands still wet? (neutral),neutral,neutral
"Uh, moist, yeah. (neutral)",neutral,neutral
Let's dry 'em again. (neutral),neutral,neutral
Oh my God! Oh my God!! (sadness),sadness,surprised
Still crying? (surprise),surprise,neutral
Like a (neutral),neutral,sadness
"Y'know, I only know of two surefire ways to shut a man up. And one of them is sex. (neutral)",neutral,joy
What's the other one? (neutral),neutral,neutral
"I don't know, I've never had to use the other one. (neutral)",neutral,joy
"I'm just saying y'know, if we're having sex, he's not gonna be talking. (neutral)",neutral,joy
Oh that's right. (joy),joy,neutral
You're the talker. (neutral),neutral,joy
"Anyway uh, great idea! (joy)",joy,joy
"Umm, I gotta go to the store; I told him that I would buy him some more tissues. (neutral)",neutral,neutral
"Oh, we have some (neutral)",neutral,neutral
No you don't! (anger),anger,surprised
"Okay, yeah. Triple A can pick us up. (neutral)",neutral,joy
"Yeah, what town are we near? (neutral)",neutral,neutral
"Freemont. West-Westmont, ah Westburg? (neutral)",neutral,neutral
Then why are you answering? Do you at least know what route we're on? (anger),anger,anger
"Yeah, we are definitely on Route 27. (neutral)",neutral,neutral
"Okay. We are at a rest stop on Route 27. Okay. There is no Route 27. Okay, either 93 or 76? (neutral)",neutral,surprised
"I don't know, I'm sorry, I always slept in the back when we drove up here. (sadness)",sadness,sadness
"Hey, can you send somebody up and down 76 and check every rest stop, and, and also 93? (neutral)",neutral,neutral
Okay! (neutral),neutral,joy
"Yeah, no they don't do that. (neutral)",neutral,sadness
"Ugh, okay, well somebody will come and save us. (neutral)",neutral,disgust
Who? (anger),anger,anger
I mean have you seen a car come by here in the last hour and a half? (fear),fear,anger
"I think we should call Ross, maybe he can get a car and come pick us up. (neutral)",neutral,neutral
"No! No, I am not getting in a car with Ross, we will just have to live here! (anger)",anger,anger
But if... (fear),fear,neutral
"No you guys, I am not getting in a car with him, you'll have to think of something else. (anger)",anger,anger
"Oh good, oh Joey and Chandler are back. (joy)",joy,joy
So the going for help went well? (neutral),neutral,disgust
"I'm telling you man, I saw it. (neutral)",neutral,anger
"Yeah, well, you're wrong! Okay, you're wrong. (anger)",anger,anger
"I'm not wrong! I wish I was. I'm sorry. Bet that barium enema doesn't sound so bad now, huh? (sadness)",sadness,anger
I know. (neutral),neutral,neutral
Let's try a look...of far off...wonderment. (neutral),neutral,joy
"Okay, we'll-we'll gaze into our future and we'll think about our marriage and the days to come. (joy)",joy,joy
Chandler! (surprise),surprise,surprised
What is the matter with your face?! (surprise),surprise,anger
"I mean this picture is supposed to say ""Geller and Bing to be married,"" not ""Local woman saves drowning moron!"" (anger)",anger,disgust
Hey! (anger),anger,anger
Don't laugh at him! (anger),anger,anger
He's (neutral),neutral,anger
We're gonna find love! (joy),joy,joy
Definitely! (joy),joy,joy
"Yeah, I'm pretty confident about that. (neutral)",neutral,neutral
That's what makes it so easy for me to be 80% happy for Monica and Chandler! (joy),joy,joy
It would be nice to have a little guarantee though. (neutral),neutral,sadness
What do you mean? (neutral),neutral,neutral
"Well y'know, some people make deals with a friend, like if neither of them are married by the time they're 40, they marry each other. (neutral)",neutral,neutral
You mean a backup? (neutral),neutral,neutral
Exactly! (joy),joy,joy
"Yeah, yeah I got that. (neutral)",neutral,neutral
You do? (neutral),neutral,surprised
Hm-mmm (neutral),neutral,neutral
Who? (neutral),neutral,surprised
Yeah! (joy),joy,joy
Are you serious?! (surprise),surprise,surprised
"Yeah, I locked him years ago! (joy)",joy,joy
"Wh... So... If neither of you are married by the time you're 40, you're gonna marry Joey. (surprise)",surprise,surprised
"Yep, we shook on it. Yeah but believe me that is not how he wanted to seal the deal. (neutral)",neutral,joy
"Oh, seriously? (surprise)",surprise,surprised
"Yeah uh, what am I gonna do? (neutral)",neutral,sadness
"Yeah, I'm sorry man. You wanna go watch? (neutral)",neutral,neutral
Yeah! (joy),joy,joy
Good morning. (neutral),neutral,neutral
"Hi Tag! Hey, so did you have fun with uh, with Joey last night? (joy)",joy,neutral
Oh yeah! We went to the Knicks game. (joy),joy,joy
Ohh that's nice. (joy),joy,joy
Then we went to this bar and he hooked us up with all these women! (joy),joy,joy
Wo-women? You mean like old women? (disgust),disgust,surprised
"Well kinda old, like 30. (neutral)",neutral,neutral
Oh. (neutral),neutral,neutral
"And I never used to be able to just talk to girls in bars, but I got like 20 phone numbers last night. (surprise)",surprise,joy
"That's great! Wow man, so Joey must've really taught you some stuff huh? (surprise)",surprise,joy
A little. (neutral),neutral,neutral
Yeah? (surprise),surprise,neutral
How you doin'? (neutral),neutral,joy
"Phoebe, we are so proud of you! You're amazing! (joy)",joy,joy
I know. (neutral),neutral,neutral
So does it really hurt as bad as they say? (joy),joy,fear
What did you just say? (surprise),surprise,surprised
You roll another hard eight and we get married here tonight. (joy),joy,joy
Are you serious?! (surprise),surprise,surprised
Yes! I love you! I've never loved anybody as much as I love you. (joy),joy,joy
I've never loved anybody as much as I love you. (joy),joy,joy
"Okay, so if an eight comes up, we take it as a sign and we do it! (joy)",joy,joy
What do you say? (neutral),neutral,neutral
Okay! (joy),joy,joy
Okay! Come on! Let's go! All right! (joy),joy,joy
Okay! That's a four! And where-where's the other one? (anger),anger,joy
It went under the table. (neutral),neutral,neutral
"Nobody move! Okay, you look that way; I'll look this way! (anger)",anger,neutral
Here it is! Here it is! (joy),joy,joy
That could be a four or a five. It's your call. (neutral),neutral,neutral
It's a four. (neutral),neutral,neutral
I think so too. (neutral),neutral,neutral
Well that's it. I'm done. Whew! There come the meat sweats. (joy),joy,joy
"Well Joey, we're all...we're all very proud of you. (joy)",joy,joy
"Yes, I believe we can expect a call from the President any moment now. (neutral)",neutral,joy
Is there anything we can do for you? (neutral),neutral,neutral
"No just, nobody press on my stomach. (neutral)",neutral,neutral
You can keep those pants by the way. (neutral),neutral,neutral
Whoa--hey--wh-wh-what do you got there? What is that? Pie? (surprise),surprise,surprised
"Yeah, you want some? (neutral)",neutral,neutral
"Ah, just cut me a little sliver. (joy)",joy,neutral
A little bigger. (neutral),neutral,neutral
Little bigger. (neutral),neutral,neutral
What?! (surprise),surprise,surprised
Are you afraid you're gonna run out?! (anger),anger,anger
Cut me a real piece! (anger),anger,anger
"Phoebe, oh my God! Wh-wh-what are you doing here? (surprise)",surprise,surprised
"I need to talk to you, it's pretty urgent. It's about Monica and Chandler. (neutral)",neutral,neutral
Oh my God! (surprise),surprise,surprised
"Of course, of course. (neutral)",neutral,neutral
"Umm, would you please excuse me for a moment? (neutral)",neutral,neutral
"Umm, do you know each other's hometowns? (neutral)",neutral,neutral
Why don't you... Wh-what's going on? (fear),fear,fear
"Well, umm, not much. (neutral)",neutral,neutral
"But, I was just thinking that since those guys just got engaged that maybe it would be nice if they had some privacy, y'know? (neutral)",neutral,neutral
"So, could I just move in with you for a couple days? (neutral)",neutral,neutral
"Umm, okay, yeah, sure. But wh-what's wrong with Monica and Chandler? (neutral)",neutral,fear
Nothing..Why? (neutral),neutral,neutral
"Phoebe, you said it was urgent! (anger)",anger,anger
Oh yeah it is! I'm going to the movies and it starts in like five minutes. (neutral),neutral,disgust
Do you realize I have a classroom full of students? (anger),anger,anger
"Oh, I'm sorry. I'm so rude. Does anyone want to come to the movies? (neutral)",neutral,disgust
"Look, look, there's got to be a way we can work past this. (sadness)",sadness,fear
"Okay, I can't imagine, I can't imagine my life without you. (fear)",fear,sadness
"Without, without these arms, and your face, and this heart. (sadness)",sadness,sadness
"Your good heart Rach, and, and.... (sadness)",sadness,sadness
No. (neutral),neutral,anger
"I can't, you're a totally different person to me now. (sadness)",sadness,disgust
"I used to think of you as somebody that would never, ever hurt me, ever. (sadness)",sadness,sadness
"God, and now I just can't stop picturing with her, I can't, it doesn't matter what you say, or what you do, Ross. (sadness)",sadness,disgust
"It's just changed, everything. (sadness)",sadness,sadness
Forever. (sadness),sadness,sadness
"Yeah, but this can't be it, I mean. (sadness)",sadness,fear
Then how come it is? (sadness),sadness,anger
"Windows are clean, candels are lit. (neutral)",neutral,neutral
"Uh, belt's to tight, gotta change the belt. (joy)",joy,neutral
Did I turn the fish? (neutral),neutral,fear
"No, cause I made lasagne. (neutral)",neutral,neutral
Am I out of control? (anger),anger,fear
Just a touch. (neutral),neutral,joy
"Mon, I don't understand. (neutral)",neutral,neutral
"I mean, you've been dating this guy since like, what... his midterms? (surprise)",surprise,neutral
"I mean, why all the sudden are you so... Oh. (surprise)",surprise,surprised
What? (neutral),neutral,neutral
Could tonight be the Night? (joy),joy,joy
I don't know. (neutral),neutral,neutral
Look he's a great guy and I love being with him but... you know. (joy),joy,neutral
"Things happen, and they happen. (joy)",joy,neutral
You don't plan these things. (neutral),neutral,neutral
"So, did you shave your legs? (neutral)",neutral,joy
Yeah. (neutral),neutral,neutral
Ross! (anger),anger,neutral
"Okay, Raymond, Joey you're up. (neutral)",neutral,neutral
Hi! (joy),joy,neutral
"Okay, uh well, let's try one. Whenever you guys are ready. (neutral)",neutral,neutral
Uh-oh. (fear),fear,surprised
Is there a problem? (neutral),neutral,neutral
"Well this is noodle soup and uh, I've been working with tomato. (neutral)",neutral,fear
"But that's okay, no problem. (neutral)",neutral,neutral
No problem. (neutral),neutral,neutral
"Hmm, noodle soup. (neutral)",neutral,neutral
"Y'know, that's-that's fine, but the line is, ""Hmm, soup."" (neutral)",neutral,neutral
"Oh, what did I say? (surprise)",surprise,surprised
"Hmm, noodle soup. (neutral)",neutral,neutral
How's that different? Oh! Yeah! (surprise),surprise,surprised
"All right, let's try one. (neutral)",neutral,neutral
"Hmm, noodle soup. (neutral)",neutral,neutral
Okay. Let's do it again. (neutral),neutral,neutral
Okay. (neutral),neutral,neutral
"Hmm, soup. I mean, noodle soup. I mean soup! (anger)",anger,fear
COME ON!!!! (anger),anger,anger
Y'know what? We need to move on. (anger),anger,neutral
"No! No! I-I can do it one more time! See? Look! Hmm, noodle soup. Damnit! (anger)",anger,anger
Okay. Just give us a second. Ross! (neutral),neutral,neutral
Yeah? (neutral),neutral,neutral
Give her some money. (neutral),neutral,neutral
I really think they're out of rooms. (neutral),neutral,neutral
"They're not!! Ross, they're just saving them for the important people!! Okay?! What-what if I was the president?! (anger)",anger,anger
"Well then we'd be in a lot of trouble, you don't know where any countries are. (neutral)",neutral,joy
Okay. (neutral),neutral,neutral
"Uh, say would you umm... Would you mind checking again to see if any umm, private rooms may have opened up? (neutral)",neutral,neutral
This is a hospital. (neutral),neutral,neutral
Y'know what? (neutral),neutral,anger
I'd have to say I really don't care for your tone. (anger),anger,anger
And this is not the only hospital in this city and we have no problem to--Whoa! (anger),anger,surprised
Oh gosh! (surprise),surprise,surprised
What-what? (surprise),surprise,surprised
Ow! Ow! Contraction. Ow-ow! Ow-ow! (surprise),surprise,fear
Would you like to see a semi-private room? (neutral),neutral,neutral
"Yeah, it couldn't hurt to look. (neutral)",neutral,neutral
"I'm just sayin' if dogs do experience jet lag, then, because of the whole um, seven dog years to one human year thing, then, when a dog flies from New York to Los Angeles, he doesn't just lose three hours, he loses like a week and a half. (neutral)",neutral,joy
That's funny. Who are they? (joy),joy,joy
"The blond woman is my ex-wife, and the woman touching her is her... close, personal friend. (neutral)",neutral,sadness
You mean they're lovers. (surprise),surprise,neutral
If you wanna put a label on it. (neutral),neutral,neutral
"Wow, uh, anything else I should know? (surprise)",surprise,surprised
"Oh God, Ross, I cannot do this. (sadness)",sadness,fear
"Okay, quick and painful. (neutral)",neutral,neutral
"Oh God... Okay. Alright. Alright. Okay. Ross, please don't hate me. (fear)",fear,fear
"Oh, what? What-what? (surprise)",surprise,surprised
Y'know Marcel? (neutral),neutral,fear
...Yeah? (neutral),neutral,neutral
"Well, I kind of... I kind of lost him. (sadness)",sadness,fear
Hi Pheebs! (joy),joy,neutral
Hi! (joy),joy,neutral
How are ya? (neutral),neutral,neutral
Good. (neutral),neutral,neutral
"Umm Pheebs, remember when we were in the coffee house we decided that I was going to keep the uh, the cute guy's cell phone? (neutral)",neutral,neutral
Yeah. (neutral),neutral,neutral
And remember how I said I was going to keep it in my purse so that if it rang I could just pick it up? (neutral),neutral,neutral
Yeah! (joy),joy,joy
And do you remember going into my purse and stealing the phone?! (anger),anger,anger
"Ooh, now you lost me. (fear)",fear,surprised
You stole the phone! (anger),anger,anger
No I didn't! (anger),anger,anger
"No? So you're saying that if I called it, it wouldn't ring? (anger)",anger,anger
"No. Umm, okay. But while you dial, let me show you the features of my new ringing handbag. Oh, it does work! (fear)",fear,surprised
Phoebe! (anger),anger,anger
It's not here. (neutral),neutral,neutral
"Puzzler. A bit of a puzzle. Why don't you um, check the copy room, maybe you left the contracts in there? (neutral)",neutral,neutral
How could I have left them in the copy room? (neutral),neutral,surprised
I don't know Tag! How can your genitals make phone calls? Okay? It's not a perfect world! Just go please. (anger),anger,anger
Fine. (anger),anger,neutral
How ya doin'? Welcome. Good to see ya! (joy),joy,joy
This will be your phone. (neutral),neutral,neutral
"That's great. But uh, I'm not really expecting a lot of calls. (neutral)",neutral,sadness
No you answer it and take pledges. (neutral),neutral,anger
But I'm the host! (surprise),surprise,anger
"No, Gary Collins is the host. You'll be answering the phones. (neutral)",neutral,disgust
"You don't seem to understand. See, I was Dr. Drake Remoray. (neutral)",neutral,surprised
"Well, here's your phone doctor. (neutral)",neutral,disgust
Hey guys. (neutral),neutral,neutral
Hey Gunther. Hi. I mean you're going out on a date with the noisy guy upstairs? (surprise),surprise,surprised
"Well, he's very charming. (neutral)",neutral,neutral
"I know, he's too charming, but if you two start going out, then it's just gonna make it so much harder for me to hate him. (disgust)",disgust,disgust
"Well, you're just gonna have to try. (neutral)",neutral,neutral
"Joey, where are the (neutral)",neutral,neutral
"I don't know, Chandler is supposed to be passin' 'em around... (neutral)",neutral,neutral
"Okay, ten blocks down. Five to go. (anger)",anger,neutral
Oh wait! Stop! Stop! Stop! (joy),joy,surprised
Oh I'm sorry! Do you need a break? (surprise),surprise,neutral
My boots in tan! Hey! Can you get a little closer so I can see the price? (joy),joy,joy
I can see it from right here. It'll cost you one husband. (joy),joy,joy
"Okay, I'm sorry. I think I can walk the rest of the way now. Just-just give me my boots. (sadness)",sadness,neutral
Come on more! (anger),anger,joy
Oh God! (joy),joy,joy
"Yeah, you like that don't you? (neutral)",neutral,joy
Oh yeah right there! (joy),joy,joy
You want it there? You take it there baby! (joy),joy,joy
Uh Phoebe? (sadness),sadness,surprised
"Yeah, say my name. Say it! And now I'm going to cover you back up, and umm we're never doing this again. (joy)",joy,disgust
Happy?! Is that what I'm supposed to be Vic? Happy? (anger),anger,anger
"Well, why don't you tell me what you're supposed to be! (anger)",anger,anger
Huh? (neutral),neutral,anger
Because I sure as hell can't figure it out! (anger),anger,anger
I talk to you and it's nothin'. (neutral),neutral,anger
"You look at me, and nothin'. (neutral)",neutral,anger
Nothing. (neutral),neutral,anger
"You guys make me fly! High! Okay, we're gonna pick it up here, tomorrow. (joy)",joy,joy
"Well, that was ah... (neutral)",neutral,neutral
What?! What are you doing?! (surprise),surprise,surprised
Do you know what just happened? (anger),anger,neutral
Yeah. We-we had sex and then we fell asleep. (neutral),neutral,neutral
No. We were in the middle of sex...and (neutral),neutral,fear
"Nooo! No, that's not true. No, best time ever! Yeah, you rocked my world! (joy)",joy,joy
"Don't worry, Chandler, it's not a globe of the United States. (neutral)",neutral,neutral
Hey you guys I'm gonna go out and take a walk. (neutral),neutral,neutral
"Phoebe, why is your bag moving? (surprise)",surprise,surprised
"Oh, it's not! (neutral)",neutral,surprised
"Seriously, it's moving! (surprise)",surprise,surprised
What the hell is in there? (surprise),surprise,surprised
It's just my knitting that's all! Yes! I knit this. I'm very good. (neutral),neutral,joy
There will come a time in each of your careers when you'll have a chance to screw over another soap opera actor. (neutral),neutral,neutral
"I had such an opportunity in the recent, present. (neutral)",neutral,neutral
"And I'm ashamed to say that I took it, I advised a fellow actor to play a role, homosexually. (sadness)",sadness,sadness
"Yeah, we both auditioned for the part, and uh, as it turned out, they ah, they liked the stupid gay thing and cast him. (anger)",anger,disgust
"And now, he's got a two year contract opposite Susan Luchhi, the first lady of daytime television, and me, me I'm stuck here teaching a bunch of people, most of whom are too ugly to even be on TV. (sadness)",sadness,anger
"I'm sorry, I'm sorry, I'm sorry. (sadness)",sadness,sadness
Thank you. (neutral),neutral,neutral
Rach? (surprise),surprise,neutral
I'll be out in a second. (neutral),neutral,neutral
Oh. It's just so unexpected! I...I uh...Boy I'll tell you it's just such an honor to be nominated for a (joy),joy,surprised
"Honey, we have to go. Our reservations are at 8:00. (neutral)",neutral,neutral
in Reservations at 8:00 by Neil Simon. Thank-thank you Neil. Thank you for the words. (neutral),neutral,joy
"Okay honey, you can finish this later we're gonna be late. We gotta go. (neutral)",neutral,neutral
"Please, don't play the music. Just uh one more. (joy)",joy,joy
I can't believe you don't want to know. (surprise),surprise,surprised
"I mean, I couldn't not know, I mean, if, if the doctor knows, and Carol knows, and Susan knows.... (joy)",joy,neutral
And Monica knows... (neutral),neutral,neutral
"Wha, heh, how could you know, I don't even know! (surprise)",surprise,surprised
"Carol called me to thank me for the lasagna, I asked, she told me. (neutral)",neutral,neutral
So what's it gonna be? (joy),joy,neutral
"Wait--oh--hey--huh, oh great now he knows, and I don't know! (anger)",anger,anger
"I'm sorry, I'm just excited about being an aunt! (joy)",joy,joy
Or an uncle... (neutral),neutral,neutral
Hey Phoebe! (joy),joy,neutral
Hi Pheebs! (joy),joy,neutral
Pheebs! (joy),joy,neutral
Fine! (anger),anger,anger
"Phoebe, what's the matter? (neutral)",neutral,neutral
"Nothing, I'm sorry, I'm just, I'm out of sorts. (sadness)",sadness,sadness
"Oh, right, that's me! (surprise)",surprise,neutral
"Hey, Chandler, that table place closes at 7, come on. (neutral)",neutral,neutral
Fine. (neutral),neutral,neutral
"Phoebe, what is it? (neutral)",neutral,neutral
"All right, you know Paolo? (neutral)",neutral,neutral
"I'm familiar with his work, yes... (neutral)",neutral,disgust
"Well, he made a move on me. (anger)",anger,disgust
"Whoa, store will be open tomorrow! (surprise)",surprise,surprised
"More coffee over here, please! (joy)",joy,neutral
Hey. (neutral),neutral,neutral
"Hey. What, what are you doing here? (surprise)",surprise,surprised
"Well, I-I thought a lot about what you said, and um, I realilized duh, all right maybe I was a little judgmental. (sadness)",sadness,neutral
"Yeah, oh, but oh... (neutral)",neutral,neutral
"Look now, Phoebe remember, hey, their just fulfilling their Christmas.... (neutral)",neutral,neutral
Destiny. (neutral),neutral,neutral
Sure. (neutral),neutral,neutral
Yes. (neutral),neutral,neutral
All right. (neutral),neutral,neutral
Okay. Yikes! That one doesn't look very fulfilled. (surprise),surprise,surprised
"Oh, that's, that's ah, one of the old ones, he's just taking it to the back. (neutral)",neutral,neutral
"You keep the old ones in the back, that is so ageist. (anger)",anger,disgust
Well we have to make room for the fresh ones. (neutral),neutral,neutral
"So, what happens to the old guys? (sadness)",sadness,neutral
"Well, they go into the chipper. (neutral)",neutral,neutral
"Why, do I have a feeling that's not as happy as it sounds? No! Nooooo!!! (fear)",fear,fear
Hey! Hey!! (surprise),surprise,surprised
Light still out? (neutral),neutral,neutral
Yeah. (neutral),neutral,neutral
Oh. Maybe they're- napping. (neutral),neutral,neutral
"Oh please, they're having sex. (sadness)",sadness,disgust
Shut up! (anger),anger,surprised
"So, whaddya think George is like? (neutral)",neutral,neutral
I think he's shy. (neutral),neutral,neutral
Yeah? (surprise),surprise,neutral
Yeah. I think you have to draw him out. And then- when you do- he's a preppy animal. (neutral),neutral,neutral
"Hi! Hi, I'm Ross, you don't know me, but I'm a big, big fan of yours. I mean, (joy)",joy,joy
Aren't you with that girl over there? (neutral),neutral,neutral
"Well, yeah, kinda. (neutral)",neutral,neutral
"Um, but that's okay, see we have an understanding, um, see we each have this list of five famous people, so I'm allowed to sleep with you. (neutral)",neutral,neutral
"No, no, no, it's flattery. (joy)",joy,neutral
"Oh no, no, no, wait, wait, Isabella. (joy)",joy,fear
"Don't, don't just dismiss this so fast. (fear)",fear,fear
I mean this is a once in a lifetime opportunity... (neutral),neutral,neutral
"Yeah, for you. Is that the list? (neutral)",neutral,disgust
"Um, yeah. (neutral)",neutral,fear
May I see it? (neutral),neutral,neutral
"Um, no. (fear)",fear,fear
Come on! (joy),joy,anger
"But, okay. (neutral)",neutral,fear
I'm not on the list! (surprise),surprise,surprised
"Um, see, but that's not the final draft. (neutral)",neutral,fear
It's laminated! (anger),anger,disgust
"Yeah, um, okay see, you were, you were on the list but my friend, Chandler brought up the very good point that you are international, so I bumped you for Wynona Rider, local. (neutral)",neutral,fear
Y'know it's ironic... (neutral),neutral,disgust
...because I have a list of five goofy coffee house guys and yesterday I bumped you for that guy over there. (neutral),neutral,disgust
We're just gonna be friends. (neutral),neutral,sadness
Get out of here you lurker! Go on! Get! (anger),anger,anger
Hey Pheebs! (joy),joy,neutral
Ohh! You made up! (surprise),surprise,surprised
"Yeah, I couldn't be mad at him for too long. (neutral)",neutral,neutral
"Yeah, she couldn't live without the Chan Love. (joy)",joy,joy
"Ohh, get a room. (disgust)",disgust,disgust
We have one. (neutral),neutral,neutral
I know. Use it. (disgust),disgust,disgust
"Oh Mon, listen I have to ask! (surprise)",surprise,neutral
"Okay, Joey Tribbiani invited me back to his apartment, now does he do this with a lot of girls? (neutral)",neutral,neutral
"Yeah, a lot. A lot, a lot! (neutral)",neutral,neutral
"Ohh! And I'm one of them!! Wow! Oh, I just cannot believe this! I mean, Joey Tribbiani! (surprise)",surprise,surprised
"Well, y'know it's none of my business, but aren't you married? (neutral)",neutral,neutral
Yeah. Oh I just wish we could not be married for a little bit! Y'know I just wish we could be like on a break! (anger),anger,sadness
Ross! I think she is trying to make something happen with you to get back at me! (anger),anger,anger
So that's the only reason she could be here huh? (neutral),neutral,anger
It couldn't have anything to do with the fact that-that maybe I'm a good listener and I uh I put on a (neutral),neutral,anger
"Ross, I am telling you that she is using you to get back at me! (anger)",anger,anger
