Conversation,Original_Label,Ds-r1
He's not going to marry her.,xxx,sad
How do you know he's even thinking about it?,neutral,frustrated
It's got that about it.,anger,neutral
"Well, so what?",neutral,neutral
"What's going on here, Joe?",xxx,neutral
"Listen, kid-",frustrated,frustrated
She's not Larry's girl. She knows that.,anger,neutral
You can't read her mind.,neutral,neutral
Then why is she married? Then why isn't she married? She's been in New York and there's hundreds of single men there.,xxx,frustrated
"I'm sure hundreds of them asked her and told her that she's foolish, but no.",xxx,frustrated
She's waited.,xxx,frustrated
How do you know why she's waited?,neutral,frustrated
"Because she thinks like me, that's why.",xxx,frustrated
"She's faithful as a rock, don't you know. In my worst moments I can think of her-",sad,happy
"I think again, that I'm-I'm right.",xxx,frustrated
"Look, it's a nice day. What are we arguing for?",neutral,frustrated
"Nobody in my house better ever dare-dare to challenge her faith. Maybe strangers, but not his father, not his brother.",anger,anger
Calm yourself.,neutral,neutral
Because he's not coming back. Then what do I got to live for? I'll kill myself.,xxx,sad
Calm yourself.,frustrated,frustrated
"Don't, don't laugh at me, don't laugh at me.",anger,fear
"Look at it. Because why, when she came here and she slept in his room, the memorial broke into pieces. Look at it, look at it, Joe.",anger,frustrated
All right. All right. Calm yourself.,anger,frustrated
"You got to believe, believe with me because I can't stand all alone.",xxx,sad
Okay. Just calm yourself.,frustrated,neutral
"No, you've got to believe.",sad,frustrated
"Believe, Joe. You above all people have got to believe.",xxx,frustrated
"Why me, above all?",anger,frustrated
Huh?,anger,surprised
Why me above all?,anger,frustrated
You got to keep believing.,sad,happy
"Look at you, you're shaking.",anger,fear
I can't help it.,sad,frustrated
What have I got to hide?,anger,frustrated
"Huh? What the hell's the matter with you, Kate?",anger,anger
"No, it's all right. There's nothing wrong in that, you know.",happy,neutral
It's really lovely here. The air is sweet.,happy,happy
You're not sorry you came?,neutral,fear
No. I'm not sorry. It's-,sad,anger
I can't stay.,xxx,fear
Why not?,xxx,frustrated
"Well, for one thing, your mother so much has told me to go. [LAUGHTER].",frustrated,happy
Well-,neutral,neutral
"Look,",xxx,neutral
"you've been acting kind of, well, you know.",xxx,frustrated
What?,neutral,surprised
"Well, you've been embarrassed ever since I came.",sad,sad
"Yes, I guess I have been. But it's going from me now.",xxx,sad
"Oh look, um, well, the thing is, I was planning on, planning on sort of sneaking up on you over a week or so, and they-they take it for granted we're all set.",happy,frustrated
Yeah.,xxx,neutral
How did you know?,xxx,surprised
"Yeah, they would. Especially your mom.",xxx,frustrated
"Well, uh- would you want to?",xxx,neutral
"I, I guess that's why I asked you to come.",happy,frustrated
"Well, I mean,",happy,neutral
"Oh, Annie.",happy,sad
"from her opinion, why else would I come here?",happy,frustrated
"Annie, I love you.",happy,happy
I love you a great deal.,happy,happy
I-I love you. I have no imagination. That's all I know how to tell it.,happy,sad
"Well, I guess that's why I came.",happy,neutral
"I'm embarrassing you. I didn't want to tell you it here. I wanted to go somewhere that would be brand-new to each other. It feels wrong here, don't you? This yard and this chair.",happy,frustrated
I don't want to win you from anybody. I want you to be ready for me.,happy,frustrated
"I've been ready for a long, long time.",happy,excited
Then he's gone forever. You're sure?,xxx,sad
Look,xxx,neutral
I was almost married two years ago.,xxx,sad
Why didn't you?,surprise,frustrated
Cause you started to write me.,xxx,neutral
You felt something that far back?,happy,surprised
Every day since.,happy,sad
Why didn't you let me know?,happy,frustrated
"Well, I don't know, you didn't write until then and then when you did, what'd you say?",xxx,frustrated
You always can be so ambiguous.,xxx,frustrated
"Give me a kiss, Annie.",happy,happy
Give me-,happy,frustrated
"[LAUGHTER]. God, I kissed Annie. I kissed Annie. How long, how long I've been waiting to kiss you.",xxx,happy
I don't know if I ever can forgive you for that. Why'd you wait so long? I sat in my room wondering if I was crazy for thinking about you.,happy,frustrated
We're going to live now. I'm going to make you so happy.,happy,happy
"Not like that, you're not.",xxx,frustrated
I kissed you.,happy,happy
"Like Larry's brother. Do it like you, Chris.",happy,neutral
What is it?,xxx,neutral
Let's drive somewhere. I want to be alone with you.,sad,excited
No. What is it? Is it your mother?,sad,surprised
"No, no, no, no. Nothing like that.",neutral,frustrated
"Well then tell me what's wrong. I mean, even in your letters there's something ashamed.",sad,frustrated
"Yeah. I guess there is. I guess I was, but uh- it's going from me now.",sad,sad
You should tell me.,sad,neutral
I don't know where to start.,sad,frustrated
"But, Chris, it wouldn't work like this.",sad,frustrated
You know when I went overseas. I said I was in command of a company.,sad,neutral
"Yeah, sure.",sad,neutral
"Well, I lost them.",sad,frustrated
How many?,sad,neutral
Just about all.,sad,neutral
Geez.,sad,frustrated
It takes a little while to toss that off. Because they weren't just men.,sad,sad
"For instance, one time, it had to have been raining several days. There was this one kid, he came up to me and he gave me his last pair of dry socks. Put them in my pocket.",sad,happy
"I mean, that's-that's only a little thing, but that's the kind of guys I had. They didn't just die. They killed themselves for each other. And I mean that exactly. A little more selfish and they'd still be here today.",sad,sad
"And I, and I thought something watching them go down.",sad,sad
"Everything was being destroyed, see, but there was one new thing that was being created. A kind of responsibility, man for man. You understand me?",sad,neutral
And to show that-to bring that onto the earth like some sort of monument standing right behind us where everyone could feel it and it would make a difference to him.,sad,excited
And I came back here and it was incredible. There was no meaning in that here. The whole thing to them was a bus accident.,sad,surprised
And I went to work with dad and that rat race again. And I felt what you said-ashamed somehow. Because nobody was changed at all. It seemed to make a sucker out of a lot of guys.,sad,sad
"And I felt wrong to be alive. To drive the car, to see the new checkbook, to see the new refrigerator. I mean, you can take those things out of the war. But you got to know that when you drive that car that that came out of the love a man can have for another man. And you got to be a little bit better because of that.",sad,sad
"Otherwise, what you have here is loot; and there's blood on it.",sad,sad
And I didn't want to take any of it.,sad,frustrated
And I guess that included you.,sad,neutral
And you still feel that way?,sad,surprised
"I want you now, Annie.",xxx,excited
"Because you can't feel that way, never again, Chris. You hear me? Never. I mean, the money and me too.",sad,anger
"I mean, there's nothing wrong in that money, and your father put good planes up in the air and you should be proud of that. A man should be paid for that.",xxx,happy
"Annie,",happy,neutral
"Annie, I'm going to make a fortune for you.",happy,excited
What am I going to do with a fortune?,happy,fear
"Hey, what time is it? They're supposed to run around midnight, right? God, this is great, isn't it?",excited,excited
Look at the night we got; couldn't be better.,excited,happy
"You know actually, I wanted to go a little further up the coast to get away from all the, the people and the lights, and uh- but I thought we'd miss it. Hey, how you doing?",excited,frustrated
Fine.,sad,neutral
"Oh, is that-is that-now, is that just foam, uhh, I can't even tell.",excited,surprised
"Oh, though if I can't tell it probably isn't them, right? It probably would be unmistakable, wouldn't you think? Hey, how you doing?",excited,frustrated
"Oh, do you know what I forgot? I forgot my flashlight. How could I be so stupid. Oh, I-I should have brought my flashlight.",excited,frustrated
What flashlight?,xxx,surprised
"Uh- you know, the flashlight. The silver one. There's only one, isn't there?",excited,frustrated
That's not your flashlight; it's ours. It's mine too.,xxx,frustrated
"Oh, well, sure.",xxx,neutral
"I don't understand why you're always saying oh, it's mine, it's mine. It's not like it's just your flashlight. I mean, how do you think that makes me feel?",anger,frustrated
"No, of course. Yours and mine. Our flashlight. Yours and mine. Mi flashlight is su flashlight. Naturally.",xxx,happy
We should have brought our flashlight. I can't believe we forgot to bring it.,excited,frustrated
I hope the moon stays out.,excited,happy
"Hey, do they always run during a full moon? I can't remember if it was full last year. Do you remember?",excited,neutral
Yes.,xxx,neutral
Are you cold? Do you want my jacket?,xxx,happy
"We should have brought the blanket. Oh, why didn't we bring the blanket? Our blanket.",excited,frustrated
"You know what would be good right now? A six-pack. Ah, I can't believe I forgot a six-pack. A six-pack would be just the ticket right about now.",excited,frustrated
I'm so stupid. I'm like a little kid. I-it's amazing I get out of the house with my fly zipped. Oh- [LAUGHTER].,excited,happy
I wonder if they can hear us talk. Or hear the vibrations in the sand when we move.,excited,fear
I'm cold.,xxx,neutral
Do you want my jacket?,neutral,neutral
"It's past eleven, let's go home.",xxx,neutral
What? Are you kidding me? We just got here. We'd miss it. What's the point of coming down there if we just turn around and go home?,surprise,frustrated
There is no point in coming down here.,xxx,frustrated
Right.,neutral,neutral
That's my point.,xxx,frustrated
"Yeah, that's my point too.",neutral,neutral
"Well, so let's go.",xxx,neutral
"No. No, no, no, that's not my point. My point is there's no point in coming down here if we just turn around and leave.",excited,frustrated
"I mean, don't you want to see it?",neutral,excited
Not particularly.,sad,neutral
Why not?,neutral,neutral
I don't know. I just don't.,sad,frustrated
"Honey, this is a natural-this is a natural phenomenon. I mean, it only happens once a year. This is, this is a great opportunity. Think about the people in Kansas. They would have to get a plane ticket and hotel reservation to come and see this. We're only forty minutes away. This is too good to pass up.",xxx,excited
Pass up what? A bunch of fish. They swim up to the beach and they flop around and they swim away and then they die.,anger,frustrated
Yeah. But that moment on the beach is the highlight of their little lives. And all that flopping around is laying eggs or what you-spawning or mating or something like that.,xxx,frustrated
"I mean, this is the big night for these guys. Life's last orgy.",xxx,sad
"I don't know why you're getting so excited. I mean, it's not like the landing of the moon or something. It's just fish. Fish that nobody eats.",frustrated,frustrated
"Yeah, they do.",xxx,neutral
"Oh, God, Augie.",frustrated,fear
"What, okay, then it's fish that do something no other fish do. Like the swallows in Capistrano or the lemmings who throw themselves off the cliffs.",xxx,surprised
"There's magic here and mystery and a little bit of the unexplainable. I mean, I don't see how you cannot be interested.",xxx,excited
"I'm just not. I mean, I'm sorry, it just-they're still fish to me.",xxx,frustrated
For real?,surprise,surprised
Yes.,xxx,neutral
I don't get it. The last time-the first time that we came to see it you said it was the best night of your life.,xxx,frustrated
And then last year when we came to see it you ran out of the house so fast that you stubbed your toe. And you didn't even notice until you got in the car.,xxx,surprised
"Yes, and if you also remember, I got sand in my panties. We got into an argument about nothing. You got a sore throat and we never saw the grunions.",frustrated,frustrated
We weren't in a good spot.,xxx,sad
"No, for God's sakes, we've never seen the grunions. We're not going to see them.",frustrated,frustrated
"We just weren't in a good spot, all right? This is a much better spot. I have a good instinct for these things. Look, is that-",frustrated,excited
"no, that's just seaweed, isn't it? This is great, isn't it?",xxx,excited
"I wouldn't miss this for anything. I mean, think about this. Okay, I know you're not interested, but just think about this for a minute.",excited,frustrated
Somewhere out there there's this huge silver mass of fish heading this way. They don't know why. And we don't know why. Just some little instinctual time-release firecracker went off-went off in their bodies.,xxx,surprised
"And they all, all as one, turned as one and formed this line as big as the California coast and started swimming this way. Swimming as if that's the only thing that matters.",excited,surprised
"You know, they didn't ask it a question. They didn't, they didn't take a vote. They didn't have an invitation or a map; they just started swimming as one.",excited,frustrated
"its single-mindedness with one mind. Urgency that's pure urge. You know, they don't give it a name.",excited,excited
"They don't ask it a question. They just, they just, they don't know what drives them. They just turn as one and start the swim that brings them to here",excited,frustrated
"where we stand for a massive celebration of sex and death. Oh, God, I'm giving myself goosebumps. Look, I'm all-all my hairs on my arms is sticking up.",excited,surprised
"Yeah, that's the wind.",xxx,neutral
So what do you think?,xxx,neutral
About what?,xxx,neutral
About what I just said.,neutral,neutral
It's ridiculous.,xxx,frustrated
And you whispered so intimately in my ear so I could feel your words.,happy,excited
"Oh, that moment-that was it.",happy,neutral
"I told myself finally, this is how happy I'm supposed to be.",sad,happy
Wait a minute. I got it.,neutral,excited
Dancing barefoot in the sand. Drinking out of a bottle of champagne.,happy,happy
"It was driving past the Knickerbocker Liquor Locker, right? You said let's get some champagne, and I said time's-a-wasting or something like that.",xxx,happy
"You want this to be like the other time, right? That's it. Right?",xxx,frustrated
I don't want to remember something.,sad,fear
Hope for some things.,sad,happy
"Right. I got it. Of course. Listen, do you want to dance?",xxx,excited
No.,sad,frustrated
Do you want me to get some champagne?,xxx,neutral
No.,sad,neutral
Take off our shoes?,xxx,neutral
"No, no.",sad,fear
What? What? Do you want me to breathe in your ear?,frustrated,surprised
No.,frustrated,neutral
Do you want to get married again? What? What? Do you want to get a divorce?,frustrated,surprised
No.,frustrated,frustrated
No.,anger,neutral
A vacation?,frustrated,surprised
No.,frustrated,frustrated
A new carpet? A poodle?,frustrated,surprised
"A-a back rub, some ice cream, a suicide pact. What the hell do you want, Carla?",anger,frustrated
I want things to turn out the way that they're supposed to be.,frustrated,frustrated
"Jesus, welcome to the human race.",frustrated,frustrated
Did you think this is how I thought it was going to turn out? Do you think I had some great fantasy down the line? That four years down the line that we'd come to the beach and argue with each other over fish?,xxx,frustrated
"No, I was just like you. I thought it was going to be all peaches and roses and everything great. And the wind in our hair and the sand in our toes, and the fish will always come and the bills will pay themselves, and we'll have three big fat rosy kids. And oh God.",frustrated,sad
"You know what you get? The jokes on us, baby. Because do you know what you get? Huh? Carla? Do you know what you get? You get this.",frustrated,anger
This what? What is this? This is nothing.,frustrated,frustrated
"Yes, it is.",frustrated,neutral
"No, it's not. It's standing on the beach waiting and fighting.",anger,frustrated
Right.,frustrated,neutral
Things have never turned out anything the way that I thought they would be.,sad,frustrated
"No, I know. Me neither.",frustrated,neutral
"I mean, this is, this is everything, and it's a lot, but",xxx,frustrated
it's not something else. Do you know what I'm trying to say?,sad,frustrated
"Well, I'm doing the best I can.",frustrated,frustrated
"I know you are, Augie, and I know you wanted this evening to be nice, but I can't help thinking of being somewhere else.",sad,sad
"Yeah, maybe if you were with someone else too.",frustrated,frustrated
I didn't say that.,sad,frustrated
"No, I know. But I know I don't make you happy.",xxx,sad
"Augie, anything I do I'd rather be doing with you.",frustrated,happy
Yeah?,surprise,neutral
"God, don't you know that? I mean, you're the one that probably wants to be with somebody else. Somebody that didn't take herself so seriously, could enjoy herself more.",frustrated,anger
"Actually now that you mention it, no, I don't.",happy,frustrated
"Well, I guess we're just in the wrong spart-spot with the right person.",happy,frustrated
"Seemed like a pretty good spot to me. I mean, look at the view of the moon we've got from here.",happy,happy
I noticed that. It's beautiful.,happy,happy
You can see right over the water.,happy,neutral
"God, big old white moon.",xxx,surprised
Look what we got here.,happy,surprised
You brought refreshments?,xxx,surprised
It's not champagne.,happy,neutral
At least we won't need glasses.,happy,happy
Are you still cold? Do you want to go home?,neutral,neutral
So I was thinking you might be right.,xxx,neutral
Maybe this is the right place after all.,happy,happy
"I'm sorry, Augie.",sad,sad
Shh.,neutral,neutral
If we're very quiet the fish might come.,happy,excited
Or not.,xxx,frustrated
Or not.,happy,frustrated
Oh.,xxx,neutral
[BREATHING],neutral,neutral
I wonder.,xxx,neutral
"I mean, nobody knows we're here except for Freda and she wouldn't ring up.",fear,fear
"We're all right, aren't we darling? Whatever happens.",neutral,happy
"Yes. Now and always, sweet.",xxx,happy
"Hello? Hello? What? Ugh, wrong number.",xxx,frustrated
"[LAUGHTER] God, it sent shivers up my spine.",xxx,excited
"Ooh darling, don't say that.",xxx,fear
"You mean that sacred and beautiful thing, love?",xxx,surprised
Don't laugh at me. I'm serious.,excited,frustrated
"[LAUGHTER]. You mustn't be serious, my dear one, that's what they want.",excited,happy
"Well, if I laugh at everything I'm going to have to laugh at us too.",xxx,happy
"Ooh, certainly you must. We're figures of fun, all right.",excited,frustrated
Shall we always want to bicker and fight?,xxx,frustrated
No. The fire will fade along with our passion.,xxx,sad
"Well, what if happens if one of us is to die? Does the one that's left still laugh?",sad,sad
"Yes, yes. Yes, he must with all his might.",xxx,excited
"Darling, I believe you're talking nonsense.",xxx,frustrated
So is everyone else in the long run. Let's be superficial and pity the poor philosophers.,xxx,frustrated
"I don't care what you do, see? As long-you can paint yourself bright green all over and dance naked in the Place Vendome and rush off madly with all the men in the world and I shan't say a word as long as you love me best.",xxx,frustrated
"Thank you, dear. The same applies to you. Except that if I ever so much as catch you looking at another woman I'll kill you.",excited,anger
The one when you bought that little painted wooden snake in the Piazza and put it in my bed.,xxx,happy
Oh Charles. That was his name. Charles. He did wiggle so beautifully.,happy,happy
How long did that row last?,xxx,neutral
It went on intermittently for days.,xxx,frustrated
yeah. And that was the first time you ever hit me.,happy,sad
"That was a rouser, wasn't it?",excited,excited
I know. Oh man. Couldn't believe it.,excited,surprised
"Oh, I will never forget his face. Ooh-rah [LAUGHTER].",xxx,happy
"Oh, the real cause of that row was Peter Burden.",xxx,surprised
"As a matter of fact, the real cause of that row was Peter Burden.",anger,neutral
Presents? It was only a small trivial little broach.,xxx,frustrated
You went out of your way to torture me over Peter Burden.,xxx,anger
"Just a little perhaps, but it was nothing serious.",neutral,neutral
What of it?,xxx,frustrated
"Oh come on, it gave him a lot of pleasure and it didn't harm me.",xxx,frustrated
What about me?,anger,frustrated
"Well, if you hadn't been so suspicious and nosey you'd have never known anything about it.",xxx,anger
Are you bored with this conversation?,neutral,neutral
"I definitely, most definitely am.",xxx,anger
So am I. Bored stiff. Want some brandy?,neutral,neutral
"No, thanks.",xxx,neutral
"No particular reason. Anyhow, they were very small ones.",neutral,neutral
I don't see what's the point of going on and on about something like this.,xxx,frustrated
"Oh, my-you can hardly call three minute liquor glasses in the evening going on and on and on.",xxx,frustrated
It's become a habit with you.,neutral,frustrated
"Really, Amanda.",anger,frustrated
What?,anger,surprised
Nothing.,anger,neutral
"Going somewhere, dear?",anger,surprised
"It's a woman's job to allure the man. Watch me, won't you, a minute?",neutral,excited
"As a matter of fact, that's perfectly true.",xxx,neutral
"No, it isn't.",anger,frustrated
"Yes, it is.",anger,neutral
"Well, it didn't seem to do such wonders with you, now did it?",xxx,frustrated
"Oh, snap, snap, snap, like a little adder.",xxx,anger
"Adders don't snap, they sting.",frustrated,frustrated
"Yes, they do. They have a big bag of venom behind their fangs and they snap.",xxx,neutral
"I don't care. I don't care, do you understand? I don't care if they bark, if they roll over on the floor like hoops.",anger,anger
"Uhh,",xxx,neutral
did you see much of Peter Burden after our divorce?,anger,neutral
"Yes, I did, quite a lot actually.",xxx,happy
You had a riotous-must have had a riotous time. No restraint at all. Very enjoyable. You never had much anyhow.,anger,frustrated
You are quite insufferable. I suppose it's because you're drunk.,anger,frustrated
I'm not in the least bit drunk.,anger,frustrated
You've always had a weak head.,frustrated,frustrated
"Oh, very interesting indeed. How about a child of four or a child of six or a child of nine. We might have a splendid little debate about this intemperate tots.",xxx,excited
Do shut up. Shut up.,frustrated,anger
I don't want to talk about this anymore.,frustrated,frustrated
You better turn that off.,xxx,anger
There aren't any people upstairs. It's a photographer's studio.,xxx,neutral
"Well, I suppose the people downstairs then.",anger,neutral
They're away in Tunis.,xxx,neutral
This is no time of the year for Tunis.,neutral,frustrated
Turn it on.,anger,neutral
No.,xxx,frustrated
You've always had far too temperamental for yourself. You should try to control it.,xxx,frustrated
Turn it off.,anger,frustrated
"Listen, indeed. No, no, no, no. I am sick and tired of listening to you, you sadistic bully.",anger,anger
Very amusing indeed.,anger,happy
"Stop it, stop it, I hate you, I loath you, you are overbearing and conceited and utterly impossible.",anger,anger
"You know, you're a vile, ill-tempered, wicked little beast and I hope that I never see you again as long as I live.",anger,anger
"Oh, yes I am.",anger,neutral
"Yes I am. Let go of me. I hate you and I loath you. God, I can't believe I just finally realized how you are. I am never marry you. Never. Never, never, never. I would rather die in torment.",anger,anger
"Oh, shut up. Shut up. Shut up.",anger,anger
"I wouldn't marry you again if you came back crawling to me on your hands and knees because you're vile. You're a mean, evil-minded little vampire and I hope to God I never set eyes on you again.",anger,anger
Is that a demand sir?,neutral,frustrated
It's not a demand it's a request.  Will you just take it?  Come on.,frustrated,frustrated
I must see it before I just take it.,xxx,fear
Oh.  Look at it.,xxx,surprised
"No, no, no, no, no.  You're going to have to go back over on the other side-- --second door, up the stairs...",frustrated,frustrated
Okay.,frustrated,neutral
Oh my God. Can you just transfer it yourself?,frustrated,frustrated
No I can't just transfer it myself sir.  You got to do this.  Everyone else is doing the same thing.,frustrated,frustrated
You don't know! you can't write?  You don't know how to write?,frustrated,frustrated
I think you're being a little condescending.,frustrated,frustrated
You need to go back over there and fill it out again.,frustrated,frustrated
The information is on there.  Here I'll just fill it out right here.,frustrated,neutral
"No, no, no, because there are other people in line.  You have to go get a complete new application.",frustrated,frustrated
"This will take like a minute, okay? Jesus.",frustrated,frustrated
"No, no, no. Sir,you need to get out of the line--",xxx,frustrated
"Hey,uh-- Well that's too bad cause I'm getting my license right now.",anger,excited
"You will get your license, sir, you have to go fill out-- --another copy...excuse me?",frustrated,frustrated
Give me my--,frustrated,frustrated
"Hey, no, give me that back.",anger,frustrated
No.  Now I'm going to take this from you because you are obviously misleading,xxx,anger
-- No.  I'm not waiting...I'm not coming back again.  I don't have time to come back five days.,anger,frustrated
I'll have a license.,frustrated,neutral
Well not from this department you won't.,frustrated,frustrated
Yes I will.  I'll have this [GARBAGE],anger,frustrated
Sir-,frustrated,neutral
just as I want.  Ugh.,frustrated,frustrated
Sir?  I'm going to ask you one more time and then I'm going to call my supervisor,frustrated,frustrated
and I'll tell her how you've been behaving.,frustrated,fear
Really?,frustrated,surprised
How would you like that hmm?,frustrated,frustrated
"She's not actually in the building.  She's only on the phone. Sir, please leave this line immediately.",frustrated,frustrated
"Oh, okay.  Wow.",frustrated,surprised
No.  I'm not going anywhere.  I'm staying here-- I am filling out right now okay just calm down. I'm filling out right now-- Just take the god damn piece of paper.,anger,frustrated
Okey This is a new one.  Take the new one.,xxx,neutral
Do you own the D.M.V.?,xxx,frustrated
I'm sorry she's--these people they just want to get their license--,frustrated,frustrated
"No, You cannot get your license.  You filled out the wrong part of the form.",frustrated,frustrated
What are you talking about?  Just transfer it over.  I filled out the new one.,xxx,frustrated
"This entire time you're fighting with me sir, you could've finished the form and already been half way-- No.  Get out.",anger,anger
Hey sweetie.,sad,happy
Hey.,sad,neutral
Um.,happy,neutral
"How's it- going?  Oh I'm so tired.  Oh, I just woke up. Mmm.",xxx,neutral
What's going on?,xxx,neutral
"Uh, -Um",sad,neutral
Next week?,surprise,surprised
Overseas?,xxx,neutral
For--,sad,neutral
For how long this time?,xxx,frustrated
They said anywhere from two to three years.,sad,frustrated
What?  What do you mean two to three years?  Don't they know that you have a wife and an expectant child?,xxx,anger
"I don't want to go but,-",frustrated,frustrated
I don't care about the money.,frustrated,neutral
but they said they'd increase my pay by triple-there promotion.,frustrated,excited
And you're leaving next week so you won't even be here for Anna's birth?,xxx,anger
No.,sad,neutral
Do this whole thing by myself?,sad,frustrated
It's not the same thing.  It's not like having you here.,sad,frustrated
I can't do this.,sad,frustrated
"You can do it.  Alright?  You can, you can be strong, you can be strong for both of us alright?",neutral,frustrated
I'm sick of being strong-- --for us.,sad,frustrated
I don't know what to do.,sad,frustrated
I don't want to - I don't- I don't want to go.,frustrated,fear
The last guy who said no was fired.,frustrated,fear
I put in fifteen years in this job.,frustrated,frustrated
I know.,frustrated,neutral
I'm so close.  Five more years and I retire-,frustrated,excited
and we'll have that happy life.,frustrated,happy
Happiness for me is having you here with me,xxx,happy
maybe get some vacation-- --once it quiets down there.,sad,frustrated
A whole year? --We're not talking about like a couple months here.  I mean this is a whole year.,sad,surprised
I know.  I know.  But they really need some good guys there.,sad,frustrated
What could happen in a year?,sad,neutral
And this isn't the first time you know?  I mean you always...sending you off to different places and...,sad,frustrated
Well that's the kind of work I'm in honey.,sad,neutral
You tell her-- [BREATHING],sad,fear
I'm done.  I can't honey.,sad,frustrated
What do you mean?,sad,surprised
It's over.,sad,sad
What?,surprise,surprised
Honey I can't do it anymore.,sad,frustrated
What am I going to do?,frustrated,fear
"Priorities honey, priorities.",frustrated,frustrated
I want to--what am I going to do if I leave this job?,frustrated,fear
You're smart.  You could go back to school--,frustrated,neutral
finish your Master's that you were started never finished.,frustrated,frustrated
Fine.  I'll see if I can talk to them.,frustrated,frustrated
[LAUGHTER] Guess who just got hitched?,excited,happy
Shut up. Oh my God.  Really? Just like that?  You just asked the question and what...how did you ask?,surprise,surprised
This guy. Yeah.  Can you believe it? She said yes too. Yeah.  She said yes.,excited,excited
Okay we were at Chuck E. Cheese.,excited,neutral
"Chuck E. Cheese?  Ah, man that is so lame.",excited,frustrated
Are you serious [GARBAGE] man?,excited,anger
American Pie? Ah.,xxx,surprised
"oh, I don't remember.  Everybody Says I Love You with Drew Barrymore...no you haven't seen it?  Okay.",excited,frustrated
"Barry what's this?  And I go, I don't know.  She goes--",xxx,frustrated
She calls you Barry?,xxx,surprised
That's my name.,xxx,neutral
"Oh, okay.  Well I call you Joe cause you're middle name Joseph.",xxx,neutral
"Barry Joe, B.J. [LAUGHTER] Oh you dirty, dirty girl. you're so dirty.",xxx,happy
[LAUGHTER] So nasty. No you... dirty me?,excited,happy
Sara and I--,happy,neutral
She actually asked if it was real?  I would've probably asked the same thing considering you were in Chuck E. Cheese.,happy,surprised
"Oh, man. How old are you? Five?",xxx,frustrated
She wanted...she always wants something spontaneous.,happy,frustrated
"Yeah.  That's, you know, okay.",neutral,frustrated
"I couldn't, I couldn't afford the Red Lobster. [LAUGHTER] What anyway?",happy,frustrated
"Oh god! You are damn cheap, cheap, cheap. Anyways, moving on. It's not like you're poor.  I mean your dad makes... okey",happy,frustrated
So Okay then and.,happy,neutral
You had the mouse?,happy,surprised
Isn't it a rat?  It's a rat.  Chuck E. Cheese?,neutral,surprised
Okay. [LAUGHTER],xxx,happy
"You're my guiding light, then they put on that song the I've had the time of my life, that song.",happy,happy
Oh my God.,xxx,surprised
"Okay, that is really cheesy Joe.",happy,happy
"And I go, I want to spend the rest of my life with you.",xxx,happy
Oh that's kind of sweet.,happy,happy
"You marry me. I man I Jane, you Tarzan.",excited,happy
"No. Well that's what I said, spur of the moment--and she goes, she goes,",xxx,frustrated
Sure?  Who says sure?  You say yes...I don't like--,happy,frustrated
"Yeah, she goes--",xxx,neutral
Cause she was a little confused at first but then she said yes.,xxx,frustrated
How long have you guys been going out?,happy,neutral
About two and a half weeks.,neutral,neutral
What?,surprise,surprised
Okay.  I haven't seen you in about two and a half years and I come back and you're getting engaged to somebody you only knew for,surprise,frustrated
"You got to meet her, she's wonderful.",happy,happy
What? Oh my god.,xxx,surprised
She must be hot.,happy,neutral
"Yeah, that's it.  She's hot and you are- getting married.",xxx,frustrated
"Yeah, she is good-looking.",happy,neutral
I cannot believe you.  Why do you want to get married?  You're a boy.  You're a little boy.,xxx,surprised
I'm twenty eight years old.,neutral,neutral
Oh man.,xxx,frustrated
What?  Eighteen?,xxx,surprised
She just...she just...we're in a good position too.  She just got promoted to assistant manager at Jack In The Box,xxx,frustrated
 -and so... yeah.,xxx,frustrated
Wow. Very promising.  Yeah.  Very promising future and what are you doing?,xxx,excited
I'm still working at my parents' restaurant. Busing tables.,neutral,frustrated
Alright. Yeah.  Have a kid.  Make a beautiful life.,xxx,neutral
Oh that's great. My mom said we can move in with her again if we run out of money.,happy,frustrated
What's going on man?  What's wrong?,xxx,sad
I'm just so tired all the time.,sad,sad
"Well have you been trying to get a job, look for a job or...?",neutral,neutral
I've been looking for like eight months.,frustrated,frustrated
I know.  It- It's really tough out there.  It's really hard to find a job.,frustrated,sad
"I'm tired of the same excuses.  No, no you're not qualified enough, wish you had more education.",frustrated,frustrated
Well what are you looking for?  I mean--,neutral,neutral
Last time someone told me I was too qualified.,xxx,frustrated
"Well, okay. Well that's--",neutral,frustrated
Cause I went to Harvard.,anger,happy
You know what?  I've been working at temp jobs for the past six months.  You know how degrading it is?,frustrated,frustrated
Yeah.,sad,neutral
To be a receptionist?  Oh I spent forty thousand dollar a year for my college degree and I'm a receptionist.  God.,xxx,frustrated
Yeah.,sad,neutral
I'm smarter than half the people I work for.,anger,frustrated
"Well, what do you...what would ideally like to do, you know?",xxx,frustrated
I don't know astronaut?  I don't know something crazy like that.,frustrated,surprised
Well what'd you major in?,excited,neutral
Biomedical Engineering.,frustrated,neutral
"You-You can't be working as a restaurant manager, I mean, come on.",xxx,frustrated
"You know if you need any help finding a place I can, I can talk to my work you know I work at that law firm downtown and I can ask if they're looking for anybody.",xxx,happy
Oh yeah?  What kind of jobs they got?,neutral,neutral
I am...just like a law clerk.,neutral,frustrated
I don't want to be a law clerk.,disgust,frustrated
Yeah.,-,neutral
"Well, I'm moving up.  I mean it could be...",neutral,neutral
