Sentence,Original_Label,DeepSeek
"Well, I guess that's why I came. (happy) ",Statement Opinion,Statement Non Opinion
"I'm embarrassing you. I didn't want to tell you it here. I wanted to go somewhere that would be brand-new to each other. It feels wrong here, don't you? This yard and this chair. (happy) ",Statement Opinion,Statement Opinion
I don't want to win you from anybody. I want you to be ready for me. (happy) ,Statement Opinion,Statement Opinion
"I've been ready for a long, long time. (happy) ",Statement Opinion,Statement Opinion
Then he's gone forever. You're sure? (xxx) ,Question,Question
Look (xxx) ,Command,Command
I was almost married two years ago. (xxx) ,Answer,Statement Non Opinion
Why didn't you? (surprise) ,Question,Question
Cause you started to write me. (xxx) ,Answer,Answer
You felt something that far back? (happy) ,Question,Question
Every day since. (happy) ,Answer,Statement Opinion
Why didn't you let me know? (happy) ,Question,Question
"Well, I don't know, you didn't write until then and then when you did, what'd you say? (xxx) ",Answer,Statement Non Opinion
You always can be so ambiguous. (xxx) ,Statement Opinion,Statement Opinion
"Give me a kiss, Annie. (happy) ",Command,Command
Give me- (happy) ,Command,Command
"[LAUGHTER]. God, I kissed Annie. I kissed Annie. How long, how long I've been waiting to kiss you. (xxx) ",Statement Opinion,Statement Non Opinion
I don't know if I ever can forgive you for that. Why'd you wait so long? I sat in my room wondering if I was crazy for thinking about you. (happy) ,Statement Opinion,Statement Opinion
We're going to live now. I'm going to make you so happy. (happy) ,Statement Opinion,Statement Opinion
"Not like that, you're not. (xxx) ",Statement Opinion,Disagreement
I kissed you. (happy) ,Statement Non Opinion ,Statement Non Opinion
"Like Larry's brother. Do it like you, Chris. (happy) ",Statement Opinion,Command
What is it? (xxx) ,Question,Question
Let's drive somewhere. I want to be alone with you. (sad) ,Answer,Command
No. What is it? Is it your mother? (sad) ,Question,Question
"No, no, no, no. Nothing like that. (neutral) ",Answer,Answer
"Well then tell me what's wrong. I mean, even in your letters there's something ashamed. (sad) ",Question,Command
"Yeah. I guess there is. I guess I was, but uh- it's going from me now. (sad) ",Answer,Acknowledge
You should tell me. (sad) ,Statement Opinion,Command
I don't know where to start. (sad) ,Statement Non Opinion ,Statement Non Opinion
"But, Chris, it wouldn't work like this. (sad) ",Statement Non Opinion ,Statement Opinion
You know when I went overseas. I said I was in command of a company. (sad) ,Statement Non Opinion ,Statement Non Opinion
"Yeah, sure. (sad) ",Agreement,Backchannel
"Well, I lost them. (sad) ",Statement Non Opinion ,Statement Non Opinion
How many? (sad) ,Question,Question
Just about all. (sad) ,Answer,Answer
Geez. (sad) ,Backchannel,Acknowledge
It takes a little while to toss that off. Because they weren't just men. (sad) ,Statement Opinion,Statement Non Opinion
"For instance, one time, it had to have been raining several days. There was this one kid, he came up to me and he gave me his last pair of dry socks. Put them in my pocket. (sad) ",Statement Non Opinion ,Statement Non Opinion
"I mean, that's-that's only a little thing, but that's the kind of guys I had. They didn't just die. They killed themselves for each other. And I mean that exactly. A little more selfish and they'd still be here today. (sad) ",Statement Opinion,Statement Opinion
"And I, and I thought something watching them go down. (sad) ",Statement Opinion,Statement Non Opinion
"Everything was being destroyed, see, but there was one new thing that was being created. A kind of responsibility, man for man. You understand me? (sad) ",Statement Opinion,Statement Opinion
And to show that-to bring that onto the earth like some sort of monument standing right behind us where everyone could feel it and it would make a difference to him. (sad) ,Statement Opinion,Statement Opinion
And I came back here and it was incredible. There was no meaning in that here. The whole thing to them was a bus accident. (sad) ,Statement Non Opinion ,Statement Opinion
And I went to work with dad and that rat race again. And I felt what you said-ashamed somehow. Because nobody was changed at all. It seemed to make a sucker out of a lot of guys. (sad) ,Statement Non Opinion ,Statement Opinion
"And I felt wrong to be alive. To drive the car, to see the new checkbook, to see the new refrigerator. I mean, you can take those things out of the war. But you got to know that when you drive that car that that came out of the love a man can have for another man. And you got to be a little bit better because of that. (sad) ",Statement Non Opinion ,Statement Opinion
"Otherwise, what you have here is loot; and there's blood on it. (sad) ",Statement Opinion,Statement Opinion
And I didn't want to take any of it. (sad) ,Statement Opinion,Statement Opinion
And I guess that included you. (sad) ,Statement Opinion,Statement Opinion
And you still feel that way? (sad) ,Question,Question
"I want you now, Annie. (xxx) ",Answer,Statement Non Opinion
"Because you can't feel that way, never again, Chris. You hear me? Never. I mean, the money and me too. (sad) ",Statement Opinion,Command
"I mean, there's nothing wrong in that money, and your father put good planes up in the air and you should be proud of that. A man should be paid for that. (xxx) ",Statement Opinion,Statement Opinion
"Annie, (happy) ",Backchannel,Greeting
"Annie, I'm going to make a fortune for you. (happy) ",Statement Opinion,Statement Opinion
What am I going to do with a fortune? (happy) ,Question,Question
"Hey, what time is it? They're supposed to run around midnight, right? God, this is great, isn't it? (excited) ",Question,Question
Look at the night we got; couldn't be better. (excited) ,Statement Opinion,Statement Opinion
"You know actually, I wanted to go a little further up the coast to get away from all the, the people and the lights, and uh- but I thought we'd miss it. Hey, how you doing? (excited) ",Question,Statement Opinion
Fine. (sad) ,Answer,Answer
"Oh, is that-is that-now, is that just foam, uhh, I can't even tell. (excited) ",Statement Non Opinion ,Question
"Oh, though if I can't tell it probably isn't them, right? It probably would be unmistakable, wouldn't you think? Hey, how you doing? (excited) ",Question,Question
"Oh, do you know what I forgot? I forgot my flashlight. How could I be so stupid. Oh, I-I should have brought my flashlight. (excited) ",Statement Non Opinion ,Statement Non Opinion
What flashlight? (xxx) ,Question,Question
"Uh- you know, the flashlight. The silver one. There's only one, isn't there? (excited) ",Answer,Statement Non Opinion
That's not your flashlight; it's ours. It's mine too. (xxx) ,Statement Non Opinion ,Statement Opinion
"Oh, well, sure. (xxx) ",Agreement,Acknowledge
"I don't understand why you're always saying oh, it's mine, it's mine. It's not like it's just your flashlight. I mean, how do you think that makes me feel? (anger) ",Question,Statement Opinion
"No, of course. Yours and mine. Our flashlight. Yours and mine. Mi flashlight is su flashlight. Naturally. (xxx) ",Agreement,Agreement
We should have brought our flashlight. I can't believe we forgot to bring it. (excited) ,Question,Statement Non Opinion
I hope the moon stays out. (excited) ,Statement Opinion,Statement Opinion
"Hey, do they always run during a full moon? I can't remember if it was full last year. Do you remember? (excited) ",Question,Question
Yes. (xxx) ,Answer,Answer
Are you cold? Do you want my jacket? (xxx) ,Question,Question
"We should have brought the blanket. Oh, why didn't we bring the blanket? Our blanket. (excited) ",Statement Non Opinion ,Statement Non Opinion
"You know what would be good right now? A six-pack. Ah, I can't believe I forgot a six-pack. A six-pack would be just the ticket right about now. (excited) ",Statement Non Opinion ,Statement Opinion
I'm so stupid. I'm like a little kid. I-it's amazing I get out of the house with my fly zipped. Oh- [LAUGHTER]. (excited) ,Statement Opinion,Statement Opinion
I wonder if they can hear us talk. Or hear the vibrations in the sand when we move. (excited) ,Question,Statement Opinion
I'm cold. (xxx) ,Statement Non Opinion ,Statement Non Opinion
Do you want my jacket? (neutral) ,Question,Question
"It's past eleven, let's go home. (xxx) ",Statement Non Opinion ,Command
What? Are you kidding me? We just got here. We'd miss it. What's the point of coming down there if we just turn around and go home? (surprise) ,Question,Disagreement
There is no point in coming down here. (xxx) ,Answer,Statement Opinion
Right. (neutral) ,Backchannel,Acknowledge
That's my point. (xxx) ,Statement Non Opinion ,Statement Opinion
"Yeah, that's my point too. (neutral) ",Agreement,Agreement
"Well, so let's go. (xxx) ",Command,Command
"No. No, no, no, that's not my point. My point is there's no point in coming down here if we just turn around and leave. (excited) ",Disagreement,Disagreement
"I mean, don't you want to see it? (neutral) ",Question,Question
Not particularly. (sad) ,Answer,Answer
Why not? (neutral) ,Question,Question
I don't know. I just don't. (sad) ,Answer,Answer
"Honey, this is a natural-this is a natural phenomenon. I mean, it only happens once a year. This is, this is a great opportunity. Think about the people in Kansas. They would have to get a plane ticket and hotel reservation to come and see this. We're only forty minutes away. This is too good to pass up. (xxx) ",Statement Non Opinion ,Statement Opinion
Pass up what? A bunch of fish. They swim up to the beach and they flop around and they swim away and then they die. (anger) ,Statement Non Opinion ,Statement Opinion
Yeah. But that moment on the beach is the highlight of their little lives. And all that flopping around is laying eggs or what you-spawning or mating or something like that. (xxx) ,Statement Non Opinion ,Statement Opinion
"I mean, this is the big night for these guys. Life's last orgy. (xxx) ",Statement Opinion,Statement Opinion
"I don't know why you're getting so excited. I mean, it's not like the landing of the moon or something. It's just fish. Fish that nobody eats. (frustrated) ",Statement Opinion,Statement Opinion
"Yeah, they do. (xxx) ",Disagreement,Disagreement
"Oh, God, Augie. (frustrated) ",Backchannel,Statement Opinion
"What, okay, then it's fish that do something no other fish do. Like the swallows in Capistrano or the lemmings who throw themselves off the cliffs. (xxx) ",Statement Non Opinion ,Statement Opinion
"There's magic here and mystery and a little bit of the unexplainable. I mean, I don't see how you cannot be interested. (xxx) ",Statement Opinion,Statement Opinion
"I'm just not. I mean, I'm sorry, it just-they're still fish to me. (xxx) ",Statement Non Opinion ,Statement Opinion
For real? (surprise) ,Question,Question
Yes. (xxx) ,Answer,Answer
I don't get it. The last time-the first time that we came to see it you said it was the best night of your life. (xxx) ,Statement Non Opinion ,Statement Non Opinion
And then last year when we came to see it you ran out of the house so fast that you stubbed your toe. And you didn't even notice until you got in the car. (xxx) ,Statement Non Opinion ,Statement Non Opinion
"Yes, and if you also remember, I got sand in my panties. We got into an argument about nothing. You got a sore throat and we never saw the grunions. (frustrated) ",Statement Non Opinion ,Statement Opinion
We weren't in a good spot. (xxx) ,Statement Opinion,Statement Non Opinion
"No, for God's sakes, we've never seen the grunions. We're not going to see them. (frustrated) ",Statement Non Opinion ,Statement Opinion
"We just weren't in a good spot, all right? This is a much better spot. I have a good instinct for these things. Look, is that- (frustrated) ",Statement Opinion,Statement Non Opinion
"no, that's just seaweed, isn't it? This is great, isn't it? (xxx) ",Question,Question
"I wouldn't miss this for anything. I mean, think about this. Okay, I know you're not interested, but just think about this for a minute. (excited) ",Command,Statement Opinion
Somewhere out there there's this huge silver mass of fish heading this way. They don't know why. And we don't know why. Just some little instinctual time-release firecracker went off-went off in their bodies. (xxx) ,Statement Non Opinion ,Statement Opinion
"And they all, all as one, turned as one and formed this line as big as the California coast and started swimming this way. Swimming as if that's the only thing that matters. (excited) ",Statement Non Opinion ,Statement Opinion
"You know, they didn't ask it a question. They didn't, they didn't take a vote. They didn't have an invitation or a map; they just started swimming as one. (excited) ",Statement Non Opinion ,Statement Opinion
"its single-mindedness with one mind. Urgency that's pure urge. You know, they don't give it a name. (excited) ",Statement Opinion,Statement Opinion
"They don't ask it a question. They just, they just, they don't know what drives them. They just turn as one and start the swim that brings them to here (excited) ",Statement Non Opinion ,Statement Opinion
"where we stand for a massive celebration of sex and death. Oh, God, I'm giving myself goosebumps. Look, I'm all-all my hairs on my arms is sticking up. (excited) ",Statement Non Opinion ,Statement Opinion
"Yeah, that's the wind. (xxx) ",Statement Non Opinion ,Statement Opinion
So what do you think? (xxx) ,Question,Question
About what? (xxx) ,Question,Question
About what I just said. (neutral) ,Answer,Question
It's ridiculous. (xxx) ,Statement Opinion,Statement Opinion
And you whispered so intimately in my ear so I could feel your words. (happy) ,Statement Non Opinion ,Statement Opinion
"Oh, that moment-that was it. (happy) ",Statement Non Opinion ,Statement Opinion
"I told myself finally, this is how happy I'm supposed to be. (sad) ",Statement Non Opinion ,Statement Opinion
Wait a minute. I got it. (neutral) ,Command,Statement Non Opinion
Dancing barefoot in the sand. Drinking out of a bottle of champagne. (happy) ,Statement Non Opinion ,Statement Opinion
"It was driving past the Knickerbocker Liquor Locker, right? You said let's get some champagne, and I said time's-a-wasting or something like that. (xxx) ",Statement Non Opinion ,Question
"You want this to be like the other time, right? That's it. Right? (xxx) ",Question,Question
I don't want to remember something. (sad) ,Answer,Statement Opinion
Hope for some things. (sad) ,Statement Non Opinion ,Statement Opinion
"Right. I got it. Of course. Listen, do you want to dance? (xxx) ",Question,Question
No. (sad) ,Answer,Disagreement
Do you want me to get some champagne? (xxx) ,Question,Question
No. (sad) ,Answer,Disagreement
Take off our shoes? (xxx) ,Question,Question
"No, no. (sad) ",Answer,Disagreement
What? What? Do you want me to breathe in your ear? (frustrated) ,Question,Question
No. (frustrated) ,Answer,Disagreement
Do you want to get married again? What? What? Do you want to get a divorce? (frustrated) ,Question,Question
No. (frustrated) ,Answer,Disagreement
No. (anger) ,Answer,Disagreement
A vacation? (frustrated) ,Question,Question
No. (frustrated) ,Answer,Disagreement
A new carpet? A poodle? (frustrated) ,Question,Question
"A-a back rub, some ice cream, a suicide pact. What the hell do you want, Carla? (anger) ",Question,Question
I want things to turn out the way that they're supposed to be. (frustrated) ,Answer,Statement Opinion
"Jesus, welcome to the human race. (frustrated) ",Statement Opinion,Statement Opinion
Did you think this is how I thought it was going to turn out? Do you think I had some great fantasy down the line? That four years down the line that we'd come to the beach and argue with each other over fish? (xxx) ,Question,Question
"No, I was just like you. I thought it was going to be all peaches and roses and everything great. And the wind in our hair and the sand in our toes, and the fish will always come and the bills will pay themselves, and we'll have three big fat rosy kids. And oh God. (frustrated) ",Statement Non Opinion ,Statement Opinion
"You know what you get? The jokes on us, baby. Because do you know what you get? Huh? Carla? Do you know what you get? You get this. (frustrated) ",Statement Non Opinion ,Statement Opinion
This what? What is this? This is nothing. (frustrated) ,Statement Non Opinion ,Question
"Yes, it is. (frustrated) ",Disagreement,Agreement
"No, it's not. It's standing on the beach waiting and fighting. (anger) ",Disagreement,Disagreement
Right. (frustrated) ,Agreement,Agreement
Things have never turned out anything the way that I thought they would be. (sad) ,Statement Opinion,Statement Opinion
"No, I know. Me neither. (frustrated) ",Agreement,Agreement
"I mean, this is, this is everything, and it's a lot, but (xxx) ",Statement Opinion,Statement Opinion
it's not something else. Do you know what I'm trying to say? (sad) ,Question,Question
"Well, I'm doing the best I can. (frustrated) ",Answer,Statement Opinion
"I know you are, Augie, and I know you wanted this evening to be nice, but I can't help thinking of being somewhere else. (sad) ",Agreement,Statement Opinion
"Yeah, maybe if you were with someone else too. (frustrated) ",Statement Opinion,Statement Opinion
I didn't say that. (sad) ,Disagreement,Disagreement
"No, I know. But I know I don't make you happy. (xxx) ",Agreement,Statement Opinion
"Augie, anything I do I'd rather be doing with you. (frustrated) ",Statement Opinion,Statement Opinion
Yeah? (surprise) ,Question,Backchannel
"God, don't you know that? I mean, you're the one that probably wants to be with somebody else. Somebody that didn't take herself so seriously, could enjoy herself more. (frustrated) ",Answer,Statement Opinion
"Actually now that you mention it, no, I don't. (happy) ",Disagreement,Statement Opinion
"Well, I guess we're just in the wrong spart-spot with the right person. (happy) ",Statement Opinion,Statement Opinion
"Seemed like a pretty good spot to me. I mean, look at the view of the moon we've got from here. (happy) ",Statement Opinion,Statement Opinion
I noticed that. It's beautiful. (happy) ,Statement Opinion,Statement Opinion
You can see right over the water. (happy) ,Statement Non Opinion ,Statement Opinion
"God, big old white moon. (xxx) ",Statement Opinion,Statement Opinion
Look what we got here. (happy) ,Statement Non Opinion ,Statement Opinion
You brought refreshments? (xxx) ,Statement Non Opinion ,Question
It's not champagne. (happy) ,Statement Non Opinion ,Statement Non Opinion
At least we won't need glasses. (happy) ,Statement Non Opinion ,Statement Opinion
Are you still cold? Do you want to go home? (neutral) ,Question,Question
So I was thinking you might be right. (xxx) ,Answer,Statement Opinion
Maybe this is the right place after all. (happy) ,Statement Opinion,Statement Opinion
"I'm sorry, Augie. (sad) ",Apology,Apology
Shh. (neutral) ,Backchannel,Command
If we're very quiet the fish might come. (happy) ,Statement Opinion,Statement Opinion
Or not. (xxx) ,Statement Opinion,Statement Non Opinion
Or not. (happy) ,Agreement,Statement Non Opinion
Oh. (xxx) ,Backchannel,Acknowledge
[BREATHING] (neutral) ,Others,Backchannel
I wonder. (xxx) ,Answer,Statement Non Opinion
"I mean, nobody knows we're here except for Freda and she wouldn't ring up. (fear) ",Statement Non Opinion ,Statement Opinion
"We're all right, aren't we darling? Whatever happens. (neutral) ",Statement Non Opinion ,Question
"Yes. Now and always, sweet. (xxx) ",Agreement,Agreement
"Hello? Hello? What? Ugh, wrong number. (xxx) ",Statement Non Opinion ,Statement Non Opinion
"[LAUGHTER] God, it sent shivers up my spine. (xxx) ",Statement Non Opinion ,Statement Opinion
"Ooh darling, don't say that. (xxx) ",Command,Statement Opinion
"You mean that sacred and beautiful thing, love? (xxx) ",Question,Question
Don't laugh at me. I'm serious. (excited) ,Command,Statement Opinion
"[LAUGHTER]. You mustn't be serious, my dear one, that's what they want. (excited) ",Statement Opinion,Statement Opinion
"Well, if I laugh at everything I'm going to have to laugh at us too. (xxx) ",Statement Opinion,Statement Opinion
"Ooh, certainly you must. We're figures of fun, all right. (excited) ",Agreement,Statement Opinion
Shall we always want to bicker and fight? (xxx) ,Question,Question
No. The fire will fade along with our passion. (xxx) ,Answer,Statement Opinion
"Well, what if happens if one of us is to die? Does the one that's left still laugh? (sad) ",Question,Question
"Yes, yes. Yes, he must with all his might. (xxx) ",Answer,Statement Opinion
"Darling, I believe you're talking nonsense. (xxx) ",Statement Opinion,Statement Opinion
So is everyone else in the long run. Let's be superficial and pity the poor philosophers. (xxx) ,Statement Opinion,Statement Opinion
"I don't care what you do, see? As long-you can paint yourself bright green all over and dance naked in the Place Vendome and rush off madly with all the men in the world and I shan't say a word as long as you love me best. (xxx) ",Statement Opinion,Statement Opinion
"Thank you, dear. The same applies to you. Except that if I ever so much as catch you looking at another woman I'll kill you. (excited) ",Statement Opinion,Statement Opinion
The one when you bought that little painted wooden snake in the Piazza and put it in my bed. (xxx) ,Answer,Statement Non Opinion
Oh Charles. That was his name. Charles. He did wiggle so beautifully. (happy) ,Statement Non Opinion ,Statement Opinion
How long did that row last? (xxx) ,Question,Question
It went on intermittently for days. (xxx) ,Answer,Statement Non Opinion
yeah. And that was the first time you ever hit me. (happy) ,Answer,Statement Non Opinion
"That was a rouser, wasn't it? (excited) ",Question,Question
I know. Oh man. Couldn't believe it. (excited) ,Agreement,Acknowledge
"Oh, I will never forget his face. Ooh-rah [LAUGHTER]. (xxx) ",Statement Non Opinion ,Statement Opinion
"Oh, the real cause of that row was Peter Burden. (xxx) ",Statement Non Opinion ,Statement Non Opinion
"As a matter of fact, the real cause of that row was Peter Burden. (anger) ",Statement Non Opinion ,Statement Non Opinion
Presents? It was only a small trivial little broach. (xxx) ,Statement Non Opinion ,Statement Non Opinion
You went out of your way to torture me over Peter Burden. (xxx) ,Statement Non Opinion ,Statement Non Opinion
"Just a little perhaps, but it was nothing serious. (neutral) ",Agreement,Statement Non Opinion
What of it? (xxx) ,Backchannel,Question
"Oh come on, it gave him a lot of pleasure and it didn't harm me. (xxx) ",Statement Non Opinion ,Statement Non Opinion
What about me? (anger) ,Question,Question
"Well, if you hadn't been so suspicious and nosey you'd have never known anything about it. (xxx) ",Answer,Statement Non Opinion
Are you bored with this conversation? (neutral) ,Question,Question
"I definitely, most definitely am. (xxx) ",Answer,Statement Opinion
So am I. Bored stiff. Want some brandy? (neutral) ,Question,Statement Non Opinion
"No, thanks. (xxx) ",Answer,Statement Non Opinion
"No particular reason. Anyhow, they were very small ones. (neutral) ",Statement Non Opinion ,Statement Non Opinion
I don't see what's the point of going on and on about something like this. (xxx) ,Statement Opinion,Statement Opinion
"Oh, my-you can hardly call three minute liquor glasses in the evening going on and on and on. (xxx) ",Statement Opinion,Statement Non Opinion
It's become a habit with you. (neutral) ,Statement Opinion,Statement Non Opinion
"Really, Amanda. (anger) ",Disagreement,Statement Non Opinion
What? (anger) ,Question,Question
Nothing. (anger) ,Answer,Statement Non Opinion
"Going somewhere, dear? (anger) ",Question,Question
"It's a woman's job to allure the man. Watch me, won't you, a minute? (neutral) ",Statement Opinion,Statement Non Opinion
"As a matter of fact, that's perfectly true. (xxx) ",Agreement,Agreement
"No, it isn't. (anger) ",Disagreement,Disagreement
"Yes, it is. (anger) ",Disagreement,Disagreement
"Well, it didn't seem to do such wonders with you, now did it? (xxx) ",Statement Opinion,Statement Non Opinion
"Oh, snap, snap, snap, like a little adder. (xxx) ",Statement Opinion,Statement Non Opinion
"Adders don't snap, they sting. (frustrated) ",Disagreement,Disagreement
"Yes, they do. They have a big bag of venom behind their fangs and they snap. (xxx) ",Disagreement,Disagreement
"I don't care. I don't care, do you understand? I don't care if they bark, if they roll over on the floor like hoops. (anger) ",Statement Opinion,Statement Opinion
"Uhh, (xxx) ",Backchannel,Backchannel
did you see much of Peter Burden after our divorce? (anger) ,Question,Question
"Yes, I did, quite a lot actually. (xxx) ",Answer,Statement Non Opinion
You had a riotous-must have had a riotous time. No restraint at all. Very enjoyable. You never had much anyhow. (anger) ,Statement Opinion,Statement Opinion
You are quite insufferable. I suppose it's because you're drunk. (anger) ,Statement Opinion,Statement Opinion
I'm not in the least bit drunk. (anger) ,Disagreement,Disagreement
You've always had a weak head. (frustrated) ,Statement Opinion,Statement Opinion
"Oh, very interesting indeed. How about a child of four or a child of six or a child of nine. We might have a splendid little debate about this intemperate tots. (xxx) ",Question,Statement Non Opinion
Do shut up. Shut up. (frustrated) ,Command,Command
I don't want to talk about this anymore. (frustrated) ,Statement Opinion,Statement Opinion
You better turn that off. (xxx) ,Statement Opinion,Command
There aren't any people upstairs. It's a photographer's studio. (xxx) ,Statement Non Opinion ,Statement Non Opinion
"Well, I suppose the people downstairs then. (anger) ",Question,Statement Non Opinion
They're away in Tunis. (xxx) ,Answer,Statement Non Opinion
This is no time of the year for Tunis. (neutral) ,Statement Opinion,Statement Non Opinion
Turn it on. (anger) ,Command,Command
No. (xxx) ,Disagreement,Disagreement
You've always had far too temperamental for yourself. You should try to control it. (xxx) ,Statement Opinion,Statement Opinion
Turn it off. (anger) ,Command,Command
"Listen, indeed. No, no, no, no. I am sick and tired of listening to you, you sadistic bully. (anger) ",Statement Opinion,Statement Opinion
Very amusing indeed. (anger) ,Disagreement,Statement Non Opinion
"Stop it, stop it, I hate you, I loath you, you are overbearing and conceited and utterly impossible. (anger) ",Statement Opinion,Statement Opinion
"You know, you're a vile, ill-tempered, wicked little beast and I hope that I never see you again as long as I live. (anger) ",Statement Opinion,Statement Opinion
"Oh, yes I am. (anger) ",Disagreement,Disagreement
"Yes I am. Let go of me. I hate you and I loath you. God, I can't believe I just finally realized how you are. I am never marry you. Never. Never, never, never. I would rather die in torment. (anger) ",Statement Opinion,Statement Opinion
"Oh, shut up. Shut up. Shut up. (anger) ",Command,Command
"I wouldn't marry you again if you came back crawling to me on your hands and knees because you're vile. You're a mean, evil-minded little vampire and I hope to God I never set eyes on you again. (anger) ",Statement Opinion,Statement Opinion
Is that a demand sir? (neutral) ,Question,Question
It's not a demand it's a request.  Will you just take it?  Come on. (frustrated) ,Answer,Statement Non Opinion
I must see it before I just take it. (xxx) ,Statement Non Opinion ,Statement Non Opinion
Oh.  Look at it. (xxx) ,Agreement,Command
"No, no, no, no, no.  You're going to have to go back over on the other side-- --second door, up the stairs... (frustrated) ",Statement Non Opinion ,Command
Okay. (frustrated) ,Backchannel,Acknowledge
Oh my God. Can you just transfer it yourself? (frustrated) ,Question,Question
No I can't just transfer it myself sir.  You got to do this.  Everyone else is doing the same thing. (frustrated) ,Answer,Statement Non Opinion
You don't know! you can't write?  You don't know how to write? (frustrated) ,Question,Question
I think you're being a little condescending. (frustrated) ,Statement Opinion,Statement Opinion
You need to go back over there and fill it out again. (frustrated) ,Statement Non Opinion ,Command
The information is on there.  Here I'll just fill it out right here. (frustrated) ,Statement Non Opinion ,Statement Non Opinion
"No, no, no, because there are other people in line.  You have to go get a complete new application. (frustrated) ",Disagreement,Command
"This will take like a minute, okay? Jesus. (frustrated) ",Statement Opinion,Statement Non Opinion
"No, no, no. Sir,you need to get out of the line-- (xxx) ",Disagreement,Command
"Hey,uh-- Well that's too bad cause I'm getting my license right now. (anger) ",Statement Opinion,Statement Non Opinion
"You will get your license, sir, you have to go fill out-- --another copy...excuse me? (frustrated) ",Statement Non Opinion ,Statement Non Opinion
Give me my-- (frustrated) ,Statement Non Opinion ,Command
"Hey, no, give me that back. (anger) ",Command,Command
No.  Now I'm going to take this from you because you are obviously misleading (xxx) ,Disagreement,Statement Non Opinion
-- No.  I'm not waiting...I'm not coming back again.  I don't have time to come back five days. (anger) ,Statement Non Opinion ,Statement Non Opinion
I'll have a license. (frustrated) ,Answer,Statement Non Opinion
Well not from this department you won't. (frustrated) ,Disagreement,Statement Non Opinion
Yes I will.  I'll have this [GARBAGE] (anger) ,Disagreement,Statement Non Opinion
Sir- (frustrated) ,Backchannel,Greeting
just as I want.  Ugh. (frustrated) ,Statement Opinion,Statement Non Opinion
Sir?  I'm going to ask you one more time and then I'm going to call my supervisor (frustrated) ,Statement Non Opinion ,Statement Non Opinion
and I'll tell her how you've been behaving. (frustrated) ,Statement Opinion,Statement Non Opinion
Really? (frustrated) ,Question,Question
How would you like that hmm? (frustrated) ,Question,Question
"She's not actually in the building.  She's only on the phone. Sir, please leave this line immediately. (frustrated) ",Statement Non Opinion ,Command
"Oh, okay.  Wow. (frustrated) ",Backchannel,Acknowledge
No.  I'm not going anywhere.  I'm staying here-- I am filling out right now okay just calm down. I'm filling out right now-- Just take the god damn piece of paper. (anger) ,Statement Non Opinion ,Statement Non Opinion
Okey This is a new one.  Take the new one. (xxx) ,Statement Non Opinion ,Statement Non Opinion
Do you own the D.M.V.? (xxx) ,Question,Question
I'm sorry she's--these people they just want to get their license-- (frustrated) ,Statement Opinion,Apology
"No, You cannot get your license.  You filled out the wrong part of the form. (frustrated) ",Statement Non Opinion ,Statement Non Opinion
What are you talking about?  Just transfer it over.  I filled out the new one. (xxx) ,Command,Question
"This entire time you're fighting with me sir, you could've finished the form and already been half way-- No.  Get out. (anger) ",Statement Opinion,Command
Hey sweetie. (sad) ,Greeting,Greeting
Hey. (sad) ,Greeting,Greeting
Um. (happy) ,Backchannel,Backchannel
"How's it- going?  Oh I'm so tired.  Oh, I just woke up. Mmm. (xxx) ",Statement Non Opinion ,Question
What's going on? (xxx) ,Question,Question
"Uh, -Um (sad) ",Backchannel,Backchannel
Next week? (surprise) ,Question,Question
Overseas? (xxx) ,Question,Question
For-- (sad) ,Backchannel,Backchannel
For how long this time? (xxx) ,Question,Question
They said anywhere from two to three years. (sad) ,Answer,Statement Non Opinion
What?  What do you mean two to three years?  Don't they know that you have a wife and an expectant child? (xxx) ,Question,Question
"I don't want to go but,- (frustrated) ",Statement Non Opinion ,Statement Opinion
I don't care about the money. (frustrated) ,Statement Opinion,Statement Opinion
but they said they'd increase my pay by triple-there promotion. (frustrated) ,Statement Non Opinion ,Statement Non Opinion
And you're leaving next week so you won't even be here for Anna's birth? (xxx) ,Statement Non Opinion ,Question
No. (sad) ,Agreement,Answer
Do this whole thing by myself? (sad) ,Statement Non Opinion ,Question
It's not the same thing.  It's not like having you here. (sad) ,Statement Opinion,Statement Opinion
I can't do this. (sad) ,Statement Non Opinion ,Statement Opinion
"You can do it.  Alright?  You can, you can be strong, you can be strong for both of us alright? (neutral) ",Disagreement,Statement Opinion
I'm sick of being strong-- --for us. (sad) ,Statement Opinion,Statement Opinion
I don't know what to do. (sad) ,Statement Non Opinion ,Statement Opinion
I don't want to - I don't- I don't want to go. (frustrated) ,Statement Non Opinion ,Statement Opinion
The last guy who said no was fired. (frustrated) ,Statement Non Opinion ,Statement Non Opinion
I put in fifteen years in this job. (frustrated) ,Statement Non Opinion ,Statement Non Opinion
I know. (frustrated) ,Agreement,Acknowledge
I'm so close.  Five more years and I retire- (frustrated) ,Statement Opinion,Statement Non Opinion
and we'll have that happy life. (frustrated) ,Statement Opinion,Statement Opinion
Happiness for me is having you here with me (xxx) ,Statement Opinion,Statement Opinion
maybe get some vacation-- --once it quiets down there. (sad) ,Statement Opinion,Statement Non Opinion
A whole year? --We're not talking about like a couple months here.  I mean this is a whole year. (sad) ,Statement Non Opinion ,Statement Opinion
I know.  I know.  But they really need some good guys there. (sad) ,Agreement,Statement Opinion
What could happen in a year? (sad) ,Question,Question
