"_texto_CONCATENAR(#¡REF!,"" ("",G1,"") "")",Original_Label,DeepSeek_r1
I'll get it.  I just need a job.  I don't care what it is. (Statement Non Opinion ) ,frustrated,sad
"So, go to McDonalds. (Statement Opinion) ",frustrated,frustrated
Well I mean I need to make a little bit more than the minimum wage fry flipper. (Statement Opinion) ,frustrated,anger
Well you've got to start somewhere.  I mean- (Statement Opinion) ,neutral,frustrated
I did start somewhere.  I worked my way up.  I'm not going to start at the bottom again. (Statement Non Opinion ) ,frustrated,sad
Well you're going to have to.  You don't really have an option.  What's your problem? (Question) ,frustrated,anger
What's my problem?  What's my problem? I don't have a job. (Answer) ,anger,anger
I don't know it's like I'm trying to be- (Statement Non Opinion ) ,neutral,neutral
I thought I was pretty clear about what the problem was. (Statement Opinion) ,anger,anger
I'm trying to be helpful. (Statement Opinion) ,neutral,frustrated
"I'm trying to be helpful and you're just, like, coming at me with, like, attacks. (Statement Opinion) ",xxx,frustrated
Well maybe you could be a little helpful.  I mean obviously you don't have any problems so would it really take so much time out of your day to just go ahead and help somebody else. (Statement Opinion) ,frustrated,anger
I'm trying to watch TV. (Statement Non Opinion ) ,neutral,neutral
I'm trying to watch TV. TV. (Statement Non Opinion ) ,xxx,neutral
That's important.  That's really important. (Statement Opinion) ,frustrated,anger
Where?  Did you do it at the front desk or by the baggage claims? (Question) ,frustrated,neutral
"I-I don't know.  The place where they told me to go.  Look they told me to come talk to you because you guys lost my bag.  Not it's late.  Not it will be here soon, lost it completely.  What are you going to do about that? (Question) ",frustrated,anger
"Ma'am, first of all I'd like you to calm down.  Second of all- (Answer) ",frustrated,neutral
Look that bag has my entire life in it and you just lost it. (Statement Non Opinion ) ,frustrated,anger
I understand that ma'am. (Agreement) ,xxx,neutral
"Lost it just, like, I mean, (Statement Non Opinion ) ",anger,frustrated
"Ma'am, I understand that. (Agreement) ",frustrated,neutral
it's not like it just disappeared into thin air. Somebody wasn't paying attention (Statement Opinion) ,anger,anger
"because my bag was very easy to keep track of.  It's got big, you know, rainbow colored crap all over it and no one was paying attention because now it's just gone. (Statement Non Opinion ) ",anger,anger
"I understand that.  The best I can do for you, at this moment, is give you fifty dollar check courtesy of Northwest Airlines for inconveniencing you in losing your luggage. (Statement Non Opinion ) ",frustrated,neutral
Wait.  What? (Question) ,surprise,surprised
"At this moment in time, all I can do for you is give you- (Answer) ",frustrated,neutral
No. No. I heard- I heard what you said. (Statement Non Opinion ) ,anger,anger
"You're kidding me, right.  You're going to give me fifty dollars to completely cover my bag, everything that was in it, the inconvenience that I've gone through.  I paid for my ticket.  All I expect is to safely get to my destination with my stuff.  Is that so much to ask?  I mean I really don't think that's that big a deal to ask you guys to have my bag in the place where I leave and then put my bag where I end up. (Statement Non Opinion ) ",anger,anger
you're getting very excited right now (Statement Opinion) ,frustrated,neutral
"Yeah, well that's got everything I have in it. (Agreement) ",anger,anger
"I understand that, ma'am but there's not really much I can do for you right now. (Statement Non Opinion ) ",frustrated,neutral
Look fifty dollars is unacceptable.  My bag itself cost over a hundred and fifty dollars.  You can't just give me fifty dollar gift certificate to Percoes or whatever the hell and then send me off like that's- that's good enough.  Like that's all I needed was fifty dollars.  My bag is worth more than that. (Statement Non Opinion ) ,anger,anger
What I need you to do is file another complaint form. There's a form that you can fill out over by the front desk near the baggage claim. (Statement Non Opinion ) ,frustrated,neutral
If you'd like to take that over to the front desk- Ma'am. (Statement Non Opinion ) ,frustrated,neutral
We're just talking over each other. (Statement Non Opinion ) ,frustrated,neutral
We're not going to communicate anything this way. (Statement Non Opinion ) ,frustrated,neutral
I expect your airline who was responsible for my bag to give me the equivalent of the bag and all of the things in it. (Statement Opinion) ,anger,anger
Ma'am in flying with Northwest Airlines you agreed to (Statement Non Opinion ) ,frustrated,neutral
sign away your luggage to the (Statement Non Opinion ) ,frustrated,neutral
I didn't sign anything. I didn't sign anything. And you people have got to make- (Disagreement) ,anger,anger
"It's part of the small- it's part of the agreement when you're purchasing an airline ticket, there's- when you- (Statement Non Opinion ) ",frustrated,neutral
You have to make amends for what you did for losing my bag and all of my stuff.  Fifty dollars is unacceptable. (Statement Non Opinion ) ,anger,anger
"Ma'am, please calm down.  When you purchase a ticket, there is a terms and agreement, (Statement Non Opinion ) ",frustrated,neutral
No.  No.  I don't know. You know what? I'm going to call my lawyer. You know what?  That's what I'm going to do.  I'm going to call my lawyer and have him get down here and explain to you that this is an unacceptable option. (Statement Opinion) ,anger,anger
terms and conditions- in the agreement of purchasing a ticket. Most people frequently look it over (Statement Non Opinion ) ,frustrated,neutral
The best that we can do for you is give you- (Statement Non Opinion ) ,frustrated,neutral
Ma'am. (Backchannel) ,frustrated,neutral
I want to talk to your supervisor. (Statement Non Opinion ) ,anger,anger
I am- I am- I am my own supervisor. (Statement Non Opinion ) ,frustrated,neutral
"I've had enough.  I want to talk to-no, no unacceptable I want to your supervisor. I am done with this. (Command) ",anger,anger
"I am the supervisor, ma'am. (Statement Non Opinion ) ",frustrated,neutral
"Really, you don't work for anybody.  It's just you? (Question) ",anger,surprised
I am the current manager on duty. (Answer) ,frustrated,neutral
"Okay.  Well I want to call whoever you report to, whoever your boss is because I have had enough with this airline and I am finished waiting for my fifty dollar gift certificate. (Statement Opinion) ",anger,anger
"Ma'am, I own Northwest Airlines. (Statement Non Opinion ) ",frustrated,neutral
"Hey, I'm, uh. I'm really sorry about what happened.  I don't um- I mean what you can you do?  I mean it's- (Apology) ",sad,sad
Thanks. (Greeting) ,sad,neutral
Mmhmm. Yeah.  Yeah.  I mean it's- it's hard.  It's hard. (Agreement) ,sad,sad
"I just- I just thought he would have longer, you know, because I'm- I mean when he found out he was sick, we knew that wasn't good but I just- I just thought that it would take longer, you know? (Statement Opinion) ",sad,sad
Yeah. (Agreement) ,sad,sad
"Well I mean, you know, I mean it was I mean with that kind of condition, (Statement Non Opinion ) ",neutral,neutral
Yeah. I know. I know. (Agreement) ,sad,sad
"you know, it's inevitable  and I mean honestly it's- it's almost like (Statement Opinion) ",sad,sad
"you know, you don't- you know, how long do you want the person to go through that, you know. (Statement Opinion) ",neutral,sad
It's sort of- it's almost better off to rest in peace than he is to live in pain. (Statement Opinion) ,neutral,sad
"Yeah, I know. But I'd rather have him here with me, you know. It's just not fair.  I mean he- he didn't get to do like anything. I mean he was- (Statement Opinion) ",sad,sad
"He was only twenty four and just so many things that we were going to do, you know, and now he won't get to do them and he won't get to be here when I do.  You know, like I'll get married some day and he won't be there, like, he won't get to see that. (Statement Opinion) ",sad,sad
Yeah. (Agreement) ,sad,sad
It just doesn't seem fair. (Statement Opinion) ,sad,sad
"It's not fair but I mean that's, you know, the course of life is that, you know, you meet people and you lose them. (Statement Opinion) ",sad,sad
You're okay (Question) ,sad,neutral
Thank you for being here. (Acknowledge ) ,sad,neutral
You know I think- I think we should celebrate because I think that's what he would have wanted. (Statement Opinion) ,sad,happy
[LAUGHTER] You're probably right.  He probably would be pissed if we were all sitting around being upset about it. He'd want us to have a party. (Agreement) ,happy,happy
Yeah. (Agreement) ,neutral,happy
And to drink in his honor. [LAUGHTER] (Statement Non Opinion ) ,happy,happy
"That's right.  That's right.  I mean he would want us to, you know, celebrate the life that he- that he lived and, you know, enjoy the rest of ours as much as we can. (Statement Opinion) ",sad,happy
"Yeah, I know. (Agreement) ",sad,happy
So- (Statement Non Opinion ) ,sad,neutral
"Hey, what's up? (Question) ",neutral,neutral
Guess what came today? (Question) ,excited,excited
What? (Question) ,excited,neutral
My acceptance letter. (Answer) ,excited,happy
Get out. (Statement Non Opinion ) ,surprise,surprised
From U.S.C.. (Statement Non Opinion ) ,excited,neutral
You serious? (Question) ,surprise,surprised
"Yes, I am. (Answer) ",excited,happy
"Oh, my god what happened.  You got in. Otherwise you wouldn't be so happy. [LAUGHTER] (Statement Opinion) ",xxx,surprised
"Well yeah, that's the general idea. [LAUGHTER] (Agreement) ",excited,happy
That's awesome.  Congratulations. (Statement Opinion) ,excited,happy
Big bad acceptance packet with all the information.  I'm going to U.S.C.. (Statement Non Opinion ) ,excited,excited
That's amazing.  Wow. (Statement Opinion) ,excited,happy
I know. [LAUGHTER] (Agreement) ,excited,happy
You're going to have to get like a nine millimeter because U.S.C.'s like in South Central. (Statement Non Opinion ) ,xxx,neutral
"[LAUGHTER] Yeah, uh. No. (Disagreement) ",excited,happy
[LAUGHTER] It's safe around there. (Statement Non Opinion ) ,excited,neutral
"No, seriously. No, seriously, you should do it. (Disagreement) ",xxx,neutral
The campus is beautiful. I'm so excited. (Statement Opinion) ,excited,excited
I know but you should get like a taser or something.  I mean walking around the campus at night- (Agreement) ,neutral,neutral
"Do you want to buy me some mace for my, you know, going away present? (Question) ",excited,happy
I'll get you- I'll get you a bottle of mace. (Answer) ,xxx,neutral
There we go.  Perfect. (Statement Opinion) ,excited,happy
And a taser and a knife. (Statement Non Opinion ) ,xxx,neutral
And a taser.  Excellent.  Just make sure it's a big knife. (Statement Opinion) ,excited,happy
And you'll be fully loaded. (Statement Opinion) ,xxx,happy
I don't want any of those little puny ones. (Statement Opinion) ,excited,happy
"So, um- so what are you going to- what are you going to major in? (Question) ",neutral,neutral
Well I was thinking maybe underwater basket weaving. (Answer) ,excited,happy
"Underwater basket weaving, my god. (Statement Opinion) ",xxx,surprised
"U.S.C. has a major in that, right. (Statement Non Opinion ) ",excited,neutral
They have- they have that (Question) ,xxx,surprised
They have - U.S.C. has everything because U.S.C. is the best school ever. (Answer) ,excited,happy
they have that as a major? (Question) ,neutral,surprised
That's ridiculous.  I don't believe that. (Statement Opinion) ,neutral,surprised
Okay.  Well I'm lying but- (Agreement) ,excited,happy
"Seriously, what's your major? (Question) ",neutral,neutral
"Well, I haven't decided yet.  I want to try some things out. (Answer) ",excited,neutral
So you're undecided? (Question) ,neutral,neutral
Yeah. (Answer) ,xxx,neutral
"Hey, that's cool. (Statement Opinion) ",neutral,happy
"I know 'cause then I can do whatever I want, right.  I can try classes in this and then try classes in that and then pick whatever I like best. (Agreement) ",xxx,happy
"No, no.  It's totally cool.  I mean, like, this friend of mine he was- he's been undecided now for, like, the past like eleven years of his life. (Statement Opinion) ",neutral,neutral
okay.  Well I'm not going to be undecided forever. [LAUGHTER] (Statement Opinion) ,excited,happy
"Uh, well- (Backchannel) ",neutral,neutral
And it's so close so you can come visit me all the time. (Statement Opinion) ,excited,happy
You- you- you'll find. (Statement Non Opinion ) ,neutral,neutral
"Yeah, I know.  That's right. Yeah, yeah. Because I live in LA. (Agreement) ",xxx,happy
Right. (Agreement) ,xxx,neutral
and I like living in LA. (Statement Opinion) ,xxx,happy
"So this works out perfectly.  Because I was worried if I didn't get in to U.S.C., then I would have to go somewhere far away and then- (Statement Opinion) ",excited,happy
"You'd have to, like go somewhere else, and, you know, we would be apart, and that would suck. (Statement Opinion) ",neutral,happy
I would miss you. (Statement Opinion) ,xxx,happy
Yeah. But now we don't have to. (Statement Non Opinion ) ,xxx,happy
Right. (Agreement) ,xxx,neutral
Everything worked out perfectly. (Statement Opinion) ,excited,happy
That's awesome. (Statement Opinion) ,excited,happy
I know.  We should have a party. (Agreement) ,excited,excited
We should have a party. (Statement Non Opinion ) ,xxx,neutral
An I got accepted to U.S.C. party. (Statement Non Opinion ) ,excited,excited
You got accepted-what?  to a U.S.C. party? (Question) ,xxx,surprised
No.  An I got accepted to U.S.C. party. [LAUGHTER] (Answer) ,excited,happy
"Oh, that's right. Okay, I see. Right, right, right. (Agreement) ",neutral,happy
A party celebrating your acceptance. (Statement Non Opinion ) ,neutral,neutral
Right.  Now you're with me. (Agreement) ,excited,happy
That's cool. (Statement Opinion) ,neutral,happy
That is why I got accepted. (Statement Opinion) ,excited,happy
"Well, that's really cool that you're going to be staying in the same city and everything. so umm (Statement Opinion) ",excited,happy
I know. (Agreement) ,excited,neutral
"I don't know are you, like, I don't know.  Are you, like, available or anything? (Question) ",neutral,neutral
[LAUGHTER] Are you asking me on a date? (Question) ,xxx,happy
"Well I mean I don't know.  It's like you know I kind of had a crush on you throughout high school and, like (Answer) ",excited,happy
"I don't know I just thought that, you know, maybe we could, you know, I don't know.  It's like, you know, just test the waters anyway.  I don't see what the problem is. (Statement Opinion) ",excited,happy
What- what did you have in mind? (Question) ,excited,happy
"Movies- movie, we'll go to a movie and a dinner and- and (Answer) ",excited,happy
"actually, you know, there's this- there's this really cool restaurant, um, I don't know if you-  it's Red Lobster.  It's like down on (Statement Non Opinion ) ",excited,neutral
[LAUGHTER] (Others) ,excited,happy
Vermont. (Statement Non Opinion ) ,excited,neutral
You just did not ask me on a date to Red Lobster. (Statement Non Opinion ) ,xxx,surprised
"Wait, you've been there before? (Question) ",excited,neutral
On occasion I've heard of it. (Answer) ,excited,neutral
"Oh, so well then you know that it's awesome. (Question) ",excited,happy
Yeah.  Totally. (Answer) ,excited,happy
"Right, so we'll go there and then- and then we'll get some ice cream and maybe we'll go putt-putt golfing. (Statement Non Opinion ) ",excited,excited
I am totally down with the ice cream. (Statement Opinion) ,excited,happy
Okay.  Putt-putt golfing? (Question) ,neutral,neutral
"Eh, we can work that part out. (Answer) ",excited,happy
"Yeah, you want to go.  No, you want to go. You want to go. (Statement Opinion) ",excited,excited
Alright. (Agreement) ,excited,happy
I can see it in your eyes.  You want to go. (Statement Opinion) ,excited,excited
I think that'd be really fun actually. (Statement Opinion) ,xxx,happy
Yeah.  So we'll do that and then- and then- and then tomorrow we'll have your (Statement Non Opinion ) ,xxx,excited
party. (Statement Non Opinion ) ,excited,excited
your I got into U.S.C. graduate party. Yeah. (Statement Non Opinion ) ,xxx,excited
Well look at that.  What a great day.  I got into college and I got asked out on a date. (Statement Non Opinion ) ,xxx,excited
Good. Alright we're so happy. (Statement Opinion) ,excited,happy
Yay for me. (Statement Non Opinion ) ,xxx,happy
"That's right.  Um, so U.S.C. is a really nice school. (Statement Non Opinion ) ",excited,neutral
I know. (Agreement) ,excited,neutral
Are you going to take out loans or- (Question) ,neutral,neutral
Okay well that's not a happy part.  We don't want to talk about that. (Answer) ,excited,neutral
"Well hey, it's okay, fine, gees. (Statement Opinion) ",xxx,neutral
"Well no.  I mean I have some scholarships and some financial aid and stuff but I'll have to, you know, I'll get a job (Statement Non Opinion ) ",excited,neutral
while I'm in school.  It'll be good. (Statement Non Opinion ) ,excited,happy
Sweet. (Statement Opinion) ,xxx,happy
Yeah.  It will work out.  Maybe I could work at Red Lobster. (Statement Opinion) ,excited,happy
"Well, it's not far. (Statement Non Opinion ) ",xxx,neutral
I know.  Right down the street. (Agreement) ,excited,neutral
"That's right.  There's lots of like, there's lots of doughnut shops, like, everywhere. (Statement Non Opinion ) ",xxx,neutral
"Right, there's always that option. The doughnut thing. (Agreement) ",xxx,neutral
I mean There's pretty much doughnut shops everywhere in LA. (Statement Non Opinion ) ,xxx,neutral
Right (Agreement) ,xxx,neutral
"But, um- (Backchannel) ",neutral,neutral
and like most places really. (Statement Opinion) ,xxx,neutral
"I mean, like, I don't know.  I'm just saying if you need to make some extra cash.  You can, you know (Statement Non Opinion ) ",neutral,neutral
Work at a doughnut shop. (Statement Non Opinion ) ,xxx,neutral
Or library. (Statement Opinion) ,neutral,neutral
"Maybe on campus, I hear they have jobs on campus. (Statement Opinion) ",xxx,neutral
I just said the library (Statement Non Opinion ) ,neutral,neutral
"or, um, campus cruiser.  You can drive people around. (Statement Opinion) ",neutral,neutral
Excellent.  Drive drunk people around because you know that's all campus cruisers for. (Statement Opinion) ,excited,happy
Right or you can run for student counsel. (Statement Opinion) ,neutral,neutral
"Okay.  No, that's dorky. (Disagreement) ",excited,happy
Dorky? (Question) ,neutral,surprised
Yeah. (Answer) ,excited,neutral
It's important. (Statement Opinion) ,neutral,neutral
Student counsel? (Question) ,excited,neutral
Yes. (Answer) ,xxx,neutral
"No, it's dorky. (Disagreement) ",excited,neutral
Fine.  It's dorky. (Agreement) ,neutral,neutral
Social life.  Hello. (Statement Non Opinion ) ,excited,happy
But that'll fit you  because you're a dork. (Statement Opinion) ,neutral,happy
[LAUGHTER]. (Others) ,excited,happy
[LAUGHTER]. (Others) ,xxx,happy
[LAUGHTER]. (Others) ,xxx,happy
[LAUGHTER]. (Others) ,excited,happy
I dork. (Statement Non Opinion ) ,excited,neutral
"No.  But I'm thinking I might, you know, like audition for a play or something.  I don't really want to do the sorority thing.  I'm not really feeling that vibe with the (Statement Opinion) ",excited,excited
"Yeah, you don't want to do the sorority thing because you'll probably get used and abused by (Statement Opinion) ",neutral,neutral
ditsy valley girls and (Statement Opinion) ,xxx,neutral
lots of money and (Statement Opinion) ,xxx,neutral
lots of drunk frat boys (Statement Opinion) ,neutral,neutral
Right. (Agreement) ,xxx,neutral
Yeah. (Agreement) ,neutral,neutral
"But, hey. They have- they have- they have free, uh (Statement Non Opinion ) ",xxx,neutral
What have you heard about the Greek system? (Question) ,excited,neutral
free buffets and free events. (Statement Non Opinion ) ,xxx,neutral
Free nothing. 'Cause you have to pay tons of money anyway. (Disagreement) ,xxx,happy
"I mean it's not really free because you have to pay for it, but yeah. (Statement Opinion) ",neutral,neutral
Well do you think you're going to live on campus or off campus your first year? (Question) ,neutral,neutral
"I think I'll live on campus the first year cause you  meet more people that way, right? (Answer) ",xxx,neutral
"Oh, yeah? In a dorm? (Question) ",xxx,neutral
"Well, yeah.  I mean that's where you meet people, right.  Everybody lives in the dorms, right. (Answer) ",xxx,neutral
"I hate to break this to you but you meet people by being cool, so- (Statement Opinion) ",neutral,happy
"Oh, oh, I'm sorry, my bad.  I'll have to, like, sign up for summer lessons from you before I go.  You can teach me how to be cool before I go to college. (Statement Opinion) ",excited,happy
"No, no, no.  You're right though.  I mean, you know, dorms are definitely the way to meet people.  I know that I was in an apartment off campus (Agreement) ",neutral,neutral
"and I mean, you know, I knew my roommates and stuff but I there wasn't really that sense of community- (Statement Non Opinion ) ",xxx,neutral
Right. (Agreement) ,xxx,neutral
"that happened, you know, that was going on. (Statement Non Opinion ) ",neutral,neutral
So basically what you're saying is that I was right (Question) ,xxx,happy
I was just joking.  Gosh.  You don't have to take everything so- so seriously. (Answer) ,xxx,frustrated
"I'm- I'm right, right. (Question) ",xxx,happy
"Yes, you're right. (Answer) ",xxx,happy
That's what you're saying. I'm right. [LAUGHTER] (Statement Non Opinion ) ,excited,happy
All hail to the (Statement Non Opinion ) ,xxx,happy
me. (Statement Non Opinion ) ,excited,happy
"to you, yes. (Agreement) ",xxx,happy
"Sir, can- can you tell me which branch you went to.  We can start there. (Question) ",neutral,neutral
"Yeah, Beverley Hills. (Answer) ",xxx,neutral
"Okay.  Um, and what was the complaint? (Question) ",neutral,neutral
The food was prepared incorrectly. (Answer) ,frustrated,neutral
I asked for no tomatoes. (Statement Non Opinion ) ,frustrated,neutral
"Can you be a little more specific, sir? (Question) ",neutral,neutral
"I asked for no tomatoes on six tacos.  I got tomatoes and onions on all of them, (Answer) ",xxx,frustrated
"Um, hairs were found in three out of the six. (Statement Non Opinion ) ",xxx,frustrated
"Did you try to take them back and get your order fixed, sir? (Question) ",frustrated,neutral
"Yeah.  I did and they're like you've got to take it up with corporate, and I'm like well fine.  I'll have your ass by the end of the day and so now I'm trying to do that. (Answer) ",xxx,anger
"Well I'm very sorry, sir.  They should have dealt with it at that particular branch.  I apologize for that, uh, but we can help you.  That's no worries.  We can take care of that.  So how much did you need to be refunded? (Apology) ",neutral,happy
"It was a hundred a sixty dollars.  I'm sorry, uh, sixteen dollars. (Statement Non Opinion ) ",neutral,frustrated
"Okay.  Um, I'm going to go ahead and transfer you over to another department.  They'll need your address. (Statement Non Opinion ) ",neutral,neutral
"Look, I don't want to be transferred over to another- All I want to do is just give you my name and address so you can send me a check. (Disagreement) ",anger,frustrated
"Okay.  You understand that's all I want. Just don't give me a problem with this.  Okay, please because I'm very sensitive right now (Statement Non Opinion ) ",anger,frustrated
"and if I get sent to another operator, I'll have to tell them the same damn story again.  I don't- I think I'm just going to lose my mind.  So if you could please just not do that, that would be great.  Thank you. (Statement Opinion) ",anger,anger
"I understand, sir.  I will explain to them what the situa- (Statement Non Opinion ) ",frustrated,neutral
You don't understand because you've never gone to Del Taco and gotten the service that I've gotten.  You don't understand. (Disagreement) ,anger,anger
You're right sir.  It is your particular situation but I will call the other operator.  I will explain to them what's going on. You won't have to tell your story again. (Statement Non Opinion ) ,xxx,neutral
You're not going to call the other operator. You're not going to call the the other operator. (Statement Non Opinion ) ,anger,frustrated
You're going to fill out a form on your desk (Statement Non Opinion ) ,anger,frustrated
because I know you're at a desk right now in your stupid corporate building and you're going to send me a check for sixteen dollars and forty two cents. (Statement Non Opinion ) ,anger,anger
"Okay, sir.  They- they have to- (Statement Non Opinion ) ",frustrated,neutral
Sir. (Backchannel) ,frustrated,neutral
"Sir, they have to take down your address at the other station.  I will transfer.  I will explain everything to them.  It will all be fine.  I promise. (Statement Non Opinion ) ",frustrated,neutral
What's your name? (Question) ,frustrated,frustrated
Cindy? (Answer) ,frustrated,neutral
Cinnee? (Question) ,xxx,frustrated
Cindy. (Answer) ,xxx,neutral
Cindy?  Cindy what? (Question) ,anger,anger
"Sir, I don't think my name is really relevant- (Answer) ",frustrated,frustrated
"Cindy, look.  If you don't get your ass a piece of paper that has a check (Statement Non Opinion ) ",anger,anger
"attached to it and you don't send it to me, I'm going to get very upset. (Statement Opinion) ",anger,anger
"Alright, sir. Sir.  I'm going to transfer you to the address. (Statement Non Opinion ) ",frustrated,frustrated
"Alright.  You know what, sir.  The customer is always right. (Agreement) ",frustrated,frustrated
"You know what.  I- You know what? You know what? No, it's fine. it's fine it's fine You know what? (Statement Non Opinion ) ",frustrated,frustrated
I will go ahead and I will take- I will take (Statement Non Opinion ) ,frustrated,neutral
"Hey, Cindy. Cindy, look I know this is not your fault.  Do whatever you want. (Statement Non Opinion ) ",frustrated,frustrated
Send me to whatever operator. I just- You know what?  I'm just done.  I'm just done.  I've lost all hope. (Statement Opinion) ,frustrated,sad
"Sir, customer satisfaction is our first goal.  I will go ahead and take your number and your address down myself. (Statement Non Opinion ) ",xxx,neutral
"of getting my sixteen dollars back. It fine, no honestly. (Statement Opinion) ",frustrated,sad
"No, Cindy just don't even-look don't even.  Cuz I- look Cindy I know you don't care about me, okay.  I know that I'm just like another person who calls- (Statement Non Opinion ) ",frustrated,sad
Wait. But I- (Command) ,xxx,frustrated
But I'm giving you what you want. (Statement Non Opinion ) ,anger,frustrated
No it doesn't matter.  It's fine.  It's fine.  Just send me to the next operator.  That's fine. (Statement Non Opinion ) ,frustrated,sad
"Okay.  If that's what you want, you want to go to the next person? (Question) ",frustrated,frustrated
Yes. (Answer) ,xxx,sad
Okay.  Great. (Acknowledge ) ,frustrated,frustrated
What's he going to say?  Maybe we should tell him before he sees it. (Statement Opinion) ,xxx,fear
He saw it. (Statement Non Opinion ) ,neutral,neutral
When? (Question) ,xxx,neutral
About four this morning.  I heard it cracking and I woke up and looked out.  He was standing right there when it cracked. (Answer) ,xxx,neutral
Did you talk to him? (Question) ,sad,neutral
"No, I figured the best thing was to leave him alone. (Answer) ",sad,neutral
What was he doing out here at that hour?  He's dreaming about him again.  He's walking around at night. (Statement Opinion) ,frustrated,fear
I guess he is. (Agreement) ,xxx,neutral
"I don't know the meaning of this, mom.  But I know one thing you made a terrible mistake with dad. (Answer) ",frustrated,frustrated
What? (Question) ,surprise,surprised
"Being dishonest with him, that kind of thing always pays off and now it's paying off. (Answer) ",frustrated,frustrated
What do you mean dishonest? (Question) ,xxx,surprised
You know that Larry's not coming back and I know it.  Why do we allow him to go on thinking that we believe with him? (Question) ,anger,frustrated
"What do you want to do, argue with him? (Question) ",anger,frustrated
I don't want to argue with him but it's time that he realizes that Larry's not coming back anymore. (Answer) ,anger,frustrated
"Why shouldn't he dream of him?  Walk the nights waiting for him?  Do we contradict him?  Do we say straight out that we have no hope anymore, that we haven't had any hope for years now? (Question) ",xxx,frustrated
You can't say that to him. (Answer) ,anger,fear
We've got to say it to him. (Command) ,anger,frustrated
How are you going to prove it?  Can you prove it? (Question) ,anger,frustrated
For God's sake three years.  Nobody comes back after three years.  It's insane. (Answer) ,anger,frustrated
To you it is and to me but not to him.  You can talk yourself blue in the face but there's no body and no grave so where are you? (Question) ,anger,frustrated
Sit down mom.  I want to talk to you. (Command) ,frustrated,neutral
The trouble is the goddamn newspapers.  Every month some boy turns up from nowhere so the next one is going to be Larry. (Statement Non Opinion ) ,anger,frustrated
"Alright, alright, alright.  Listen. You know why I asked Annie here don't you? (Question) ",frustrated,frustrated
Why? (Question) ,xxx,neutral
You know why. (Answer) ,neutral,neutral
Well I got an idea but what's the story? (Question) ,xxx,neutral
I'm going to ask her to marry me. (Answer) ,neutral,neutral
"Well that's only your business, Chris. (Statement Opinion) ",neutral,neutral
You know it's not only my business. (Disagreement) ,frustrated,frustrated
What do you want me to do?  You're old enough to know your own mind. (Statement Opinion) ,anger,frustrated
Then it's alright.  I'll go ahead with it. (Statement Non Opinion ) ,frustrated,neutral
Well you want to make sure that father isn't going to- (Statement Non Opinion ) ,xxx,fear
Then it isn't just my business. (Statement Non Opinion ) ,anger,neutral
I'm just saying. (Statement Non Opinion ) ,frustrated,neutral
Sometimes you infuriate me.  You know that?  Isn't it your business too if I tell this to father and he throws a fit about it. (Statement Opinion) ,anger,anger
Sometimes you have a- Sometimes you have a talent for ignoring things. (Statement Opinion) ,anger,frustrated
I ignore what I got to ignore. The girl is Larry's girl. (Statement Non Opinion ) ,anger,neutral
She's not Larry's girl. (Disagreement) ,frustrated,anger
"From father's point of view, he's not dead and you have no right to take his girl. (Statement Non Opinion ) ",anger,neutral
"Now you can go on from there and you know where to go, but I'm telling you I don't know where to go.  See I don't know.  Now what can I do for you? (Question) ",anger,frustrated
"I don't know why it is but every time I reach out for something I want, I have to pull back because other people will suffer. My whole bloody life time after time after time. (Statement Opinion) ",frustrated,frustrated
You're a considerate fellow.  There's nothing wrong in that. (Statement Opinion) ,neutral,neutral
To hell with that. (Disagreement) ,anger,anger
Did you ask Annie yet? (Question) ,xxx,neutral
I wanted to get this settled first. (Answer) ,sad,neutral
How do you know she'll marry you?  Maybe she feels the same way father does. (Question) ,frustrated,fear
"Well if she does, then that's the end of it.  From her letters, I think she's forgotten him.  I'll find out. (Answer) ",frustrated,neutral
"and then we'll thrash it out with dad, right mom.  Don't avoid me. (Command) ",anger,frustrated
The trouble is you don't see enough women.  You never did. (Statement Opinion) ,frustrated,neutral
So what I'm not fast with women. (Agreement) ,anger,neutral
I don't see why it has to be Annie. (Statement Non Opinion ) ,anger,neutral
Because it is. (Statement Non Opinion ) ,anger,neutral
Well that's a good answer but it don't answer anything.  You haven't seen her since you went to war.  It's been five years. (Statement Non Opinion ) ,anger,frustrated
I can't help it.  I know her best.  I was brought up next door to her. (Statement Non Opinion ) ,xxx,neutral
"These years when I think of someone for my wife, I think of Annie.  What do you want, a diagram? (Question) ",sad,frustrated
"I don't want a diagram.  He thinks he's coming back, Chris. (Answer) ",frustrated,fear
You marry that girl.  You're pronouncing him dead.  Now what happens to your father?  Do you know because I don't? (Question) ,anger,fear
Alright then mom. (Acknowledge ) ,xxx,neutral
Just give it some more thought. (Command) ,xxx,neutral
"I've given it three years of thought.  I hoped that if I waited, dad would forget about Larry (Statement Non Opinion ) ",anger,sad
"and everything would be happy and we would have a regular wedding.  But if that can't happen here, then I'll have to get out. (Statement Non Opinion ) ",frustrated,sad
What the hell is this? (Question) ,xxx,surprised
"I'll get out.  I'll get married and live someplace else, maybe New York. (Answer) ",xxx,neutral
Are you crazy? (Question) ,anger,surprised
I've been a good son too long.  A good sucker I'm through with it. (Answer) ,xxx,anger
You've got a business here.  What the hell is this? (Question) ,anger,surprised
"The business, the business doesn't inspire me. (Answer) ",anger,frustrated
Must you be inspired? (Question) ,anger,frustrated
